 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,background,,,,
1,1,25607974,262317840,25613088,262370224,25622936,262471104,25613290,262372288,25604738,262284688,25638282,262628288,25604614,262283424,25624138,262483408,25615070,262390528,25612390,262363072,262260112,1,1,262260112,262260112
2,2,25608380,262322000,25613162,262370976,25620888,262450112,25613286,262372240,25605272,262290160,25637136,262616560,25604800,262285344,25621096,262452256,25615394,262393856,25611904,262358112,262265600,2,2,262265600,262265600
3,3,25608102,262319152,25611620,262355184,25619620,262437152,25612802,262367312,25604980,262287168,25636280,262607808,25604408,262281328,25619276,262433600,25615402,262393936,25611154,262350416,262263504,3,3,262263504,262263504
4,4,25609200,262330400,25611478,262353728,25619652,262437472,25612836,262367632,25604960,262286960,25635094,262595648,25604528,262282544,25619390,262434784,25615874,262398768,25610734,262346112,262260640,4,4,262260640,262260640
5,5,25612278,262361936,25611840,262357456,25619760,262438560,25613710,262376592,25605758,262295136,25634192,262586416,25605224,262289680,25621390,262455264,25616948,262409776,25611026,262349104,262267664,5,5,262267664,262267664
6,6,25613902,262378560,25611256,262351472,25619250,262433344,25613636,262375840,25605488,262292368,25637160,262616816,25604932,262286688,25621764,262459104,25616954,262409824,25610734,262346112,262265664,6,6,262265664,262265664
7,7,25615190,262391776,25611096,262349824,25619092,262431728,25613592,262375392,25605590,262293424,25634444,262588992,25605048,262287872,25621700,262458448,25617320,262413584,25610684,262345616,262263968,7,7,262263968,262263968
8,8,25616622,262406432,25611772,262356736,25620300,262444096,25613992,262379488,25606114,262298784,25634818,262592816,25605542,262292928,25622790,262469616,25617734,262417824,25611778,262356800,262267440,8,8,262267440,262267440
9,9,25617646,262416928,25612122,262360336,25620666,262447856,25614542,262385120,25606378,262301488,25637292,262618160,25605362,262291088,25623498,262476864,25617644,262416912,25611764,262356656,262268816,9,9,262268816,262268816
10,10,25618202,262422608,25612660,262365856,25621450,262455872,25615030,262390128,25606666,262304432,25638156,262627008,25605950,262297120,25624294,262485008,25617606,262416496,25612220,262361328,262270656,10,10,262270656,262270656
11,11,25617728,262417744,25612750,262366768,25621568,262457104,25614940,262389200,25606396,262301664,25640988,262656032,25605628,262293808,25625614,262498544,25617654,262416992,25612232,262361472,262271376,11,11,262271376,262271376
12,12,25617140,262411728,25612510,262364304,25621584,262457264,25614860,262388368,25606118,262298816,25640672,262652784,25605314,262290592,25625106,262493344,25616954,262409824,25612462,262363824,262267728,12,12,262267728,262267728
13,13,25612956,262368880,25610388,262342576,25616852,262408784,25611570,262354688,25606008,262297696,25631698,262560864,25605310,262290560,25620106,262442112,25613244,262371824,25612372,262362896,262273504,13,13,262273504,262273504
14,14,25613522,262374672,25610722,262345984,25617910,262419632,25613704,262376544,25606344,262301152,25634154,262586016,25605490,262292400,25621136,262452656,25614282,262382448,25612546,262364672,262276896,14,14,262276896,262276896
15,15,25614836,262388144,25611626,262355248,25619794,262438912,25615104,262390880,25606000,262297632,25635762,262602480,25605104,262288448,25621682,262458256,25614816,262387920,25612982,262369136,262272688,15,15,262272688,262272688
16,16,25610532,262344032,25611708,262356096,25620260,262443696,25614584,262385568,25605400,262291472,25631334,262557120,25604888,262286240,25622268,262464256,25615390,262393808,25611246,262351360,262270304,16,16,262270304,262270304
17,17,25610132,262339952,25609988,262338480,25618762,262428352,25613168,262371040,25604978,262287152,25631514,262558976,25604686,262284160,25617502,262415440,25615088,262390720,25610448,262343184,262272480,17,17,262272480,262272480
18,18,25612080,262359904,25610872,262347520,25619362,262434496,25613870,262378240,25605886,262296448,25632410,262568160,25605246,262289888,25618518,262425856,25615418,262394096,25611164,262350528,262272912,18,18,262272912,262272912
19,19,25613698,262376480,25611906,262358112,25621714,262458592,25613910,262378656,25606360,262301296,25633694,262581312,25605716,262294720,25618884,262429600,25614910,262388896,25612122,262360320,262276688,19,19,262276688,262276688
20,20,25611294,262351856,25610316,262341824,25617502,262415440,25615890,262398944,25606220,262299872,25634432,262588864,25606144,262299104,25617918,262419712,25613606,262375536,25612774,262367024,262278800,20,20,262278800,262278800
21,21,25611986,262358944,25610584,262344576,25617848,262418992,25616540,262405584,25606268,262300368,25638282,262628288,25605944,262297056,25619198,262432816,25613914,262378688,25613438,262373824,262277008,21,21,262277008,262277008
22,22,25608930,262327632,25609736,262335888,25619810,262439072,25615770,262397696,25605802,262295600,25635872,262603616,25605184,262289264,25618398,262424624,25615492,262394848,25611646,262355456,262274464,22,22,262274464,262274464
23,23,25606914,262306992,25608966,262328000,25617718,262417664,25613982,262379376,25605114,262288544,25634538,262589952,25604656,262283856,25614282,262382464,25613950,262379072,25610394,262342624,262267488,23,23,262267488,262267488
24,24,25307064,259235456,25312102,259287040,25320888,259377056,25323332,259402080,25311784,259283792,25350338,259678720,25301674,259180224,25342634,259599808,25329876,259469120,25056070,256664368,262267408,24,24,262267408,262267408
