,Slice,IntDen1,IntDen2,IntDen3,IntDen4,IntDen5,IntDen6,IntDen7,IntDen8,IntDen9,IntDen10,IntDen11,setfiles
3,3,25521774,25518938,25519568,25522584,25519740,25524056,25523674,25526622,25519784,25523624,25565676,exp33
5,5,25523194,25520598,25520672,25523392,25520564,25524868,0,0,0,0,0,exp37
6,6,0,0,0,0,0,0,25523568,25527842,25519782,25523610,25561318,exp38
7,7,25523454,25520690,25520918,25523782,25520858,25525284,0,0,0,0,0,exp311
8,8,0,0,0,0,0,0,25524078,25527322,25520686,25524220,25566650,exp312
9,9,25523434,25520978,25521260,25524100,25521326,25525478,0,0,0,0,0,exp315
10,10,0,0,0,0,0,0,25524210,25527504,25520696,25524574,25564700,exp316
11,11,25523578,25521244,25521678,25524080,25521198,25524928,0,0,0,0,0,exp319
12,12,0,0,0,0,0,0,25524526,25528816,25521046,25524776,25558508,exp320
13,13,25523616,25521464,25521808,25524590,25521804,25525408,0,0,0,0,0,exp324
14,14,0,0,0,0,0,0,25524628,25528114,25521390,25524830,25564852,exp325
15,15,25524078,25521764,25522068,25524946,25522168,25525806,0,0,0,0,0,exp327
16,16,0,0,0,0,0,0,25524708,25528588,25521508,25525186,25563940,exp328
17,17,25524530,25522348,25522970,25525306,25522318,25526070,0,0,0,0,0,exp339
18,18,0,0,0,0,0,0,25525348,25530152,25521840,25526006,25572712,exp340
19,19,25524544,25522316,25522620,25525576,25522592,25526462,25525114,25529304,25521612,25526152,25571942,exp343
20,20,25527694,25523070,25523298,25525076,25523346,25525170,25525788,25530264,25522754,25525960,25555448,exp375
21,21,25527878,25522932,25523188,25525456,25523388,25525744,25526158,25529854,25522472,25526522,25562878,exp377
22,22,25527298,25523028,25523082,25527086,25523356,25527008,25526506,25530032,25522546,25527390,25566670,exp388
23,23,25527168,25522838,25523068,25526846,25523424,25526558,25526826,25529730,25522542,25527248,25566352,exp392
24,24,25526714,25522890,25523420,25526530,25523362,25525444,25526322,25532116,25522770,25526670,25556174,exp3108
25,25,25526778,25523352,25523604,25526364,25524214,25525592,25526524,25533932,25523120,25528014,25555596,exp3124
26,26,25527578,25523950,25524034,25526390,25524174,25526312,25527444,25532320,25523458,25529412,25563378,exp3141
27,27,25528108,25523990,25524118,25526156,25524874,25526546,25527254,25532204,25524014,25529510,25553658,exp3171
28,28,25528420,25523780,25524190,25526598,25524714,25526752,25527368,25533022,25523770,25530460,25555850,exp3173
29,29,25529140,25523836,25523956,25526418,25524914,25526254,25527420,25532772,25523784,25531536,25557384,exp3189
30,30,25528198,25523936,25524332,25526530,25524770,25526086,25527028,25532586,25523872,25530938,25552046,exp3203
