 ,Label,IntDen,RawIntDen
1,set2.tif:exp5label,25259031.543,259552336.000
2,set2.tif:exp5label,25237827.091,259334447.000
3,set2.tif:exp5label,25229619.220,259250106.000
4,set2.tif:exp5label,25238649.523,259342898.000
5,set2.tif:exp5label,25234087.854,259296024.000
6,set2.tif:exp5label,25253922.559,259499838.000
7,set2.tif:exp5label,25221815.997,259169923
8,set2.tif:exp5label,25254211.009,259502802.000
9,set2.tif:exp5label,25246021.921,259418654
10,set2.tif:exp5label,24978051.846,256665094
11,set2.tif:exp5label,24972787.835,256611003
12,set2.tif:exp5label,24994876.127,256837974
13,set2.tif:exp5label,24999913.971,256889741
14,set2.tif:exp5label,24972862.770,256611773
15,set2.tif:exp5label,24969455.191,256576758
16,set2.tif:exp5label,24977986.351,256664421
17,set2.tif:exp5label,24957605.693,256454997
18,set2.tif:exp5label,24992178.189,256810251
19,set2.tif:exp5label,24980741.123,256692728
20,set2.tif:exp5label,24975394.197,256637785
21,set2.tif:exp5label,24966516.197,256546558
22,set2.tif:exp5label,24968850.070,256570540
23,set2.tif:exp55,25560902.913,262654253
24,set2.tif:exp55,25532928.167,262366795.000
25,set2.tif:exp55,25509513.631,262126196
26,set2.tif:exp55,25527075.093,262306651.000
27,set2.tif:exp55,25526437.273,262300097
28,set2.tif:exp55,25538136.999,262420319.000
29,set2.tif:exp55,25524940.332,262284715.000
30,set2.tif:exp55,25524913.180,262284436.000
31,set2.tif:exp55,25529142.510,262327895.000
32,set2.tif:exp55,25532447.613,262361857.000
33,set2.tif:exp55,25537234.280,262411043.000
34,set2.tif:exp55,25557515.382,262619444
35,set2.tif:exp55,25563311.818,262679006
36,set2.tif:exp55,25525195.499,262287337
37,set2.tif:exp55,25525666.030,262292172.000
38,set2.tif:exp55,25524709.300,262282341
39,set2.tif:exp55,25523105.407,262265860.000
40,set2.tif:exp55,25525863.877,262294205.000
41,set2.tif:exp55,25527114.312,262307054.000
42,set2.tif:exp55,25524758.640,262282848
43,set2.tif:exp55,25525830.497,262293862.000
44,set2.tif:exp55,25525014.196,262285474.000
45,set2.tif:exp59,25561407.895,262659442
46,set2.tif:exp59,25533217.298,262369766
47,set2.tif:exp59,25526051.992,262296138.000
48,set2.tif:exp59,25528286.795,262319102.000
49,set2.tif:exp59,25526293.534,262298620
50,set2.tif:exp59,25540676.796,262446417
51,set2.tif:exp59,25525386.826,262289303
52,set2.tif:exp59,25525054.096,262285884
53,set2.tif:exp59,25529382.884,262330365.000
54,set2.tif:exp59,25532980.622,262367334.000
55,set2.tif:exp59,25537596.107,262414761.000
56,set2.tif:exp59,25556278.475,262606734.000
57,set2.tif:exp59,25563348.312,262679381.000
58,set2.tif:exp59,25525296.807,262288378
59,set2.tif:exp59,25525778.237,262293325
60,set2.tif:exp59,25524787.641,262283146
61,set2.tif:exp59,25523051.201,262265303
62,set2.tif:exp59,25525737.461,262292906
63,set2.tif:exp59,25527082.392,262306726
64,set2.tif:exp59,25524621.227,262281436.000
65,set2.tif:exp59,25526034.864,262295962.000
66,set2.tif:exp59,25525119.591,262286557.000
67,set2.tif:exp513,25571314.835,262761242
68,set2.tif:exp513,25540177.361,262441285.000
69,set2.tif:exp513,25526491.673,262300656
70,set2.tif:exp513,25530171.547,262338469
