 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,,background
67,67,25552534,262568256,25535794,262396240,25528999.45,262326425,25529814,262334784,25528734,262323712,25539582,262435168,25528572,262322032,25527954,262315680,25531774,262354944,25535952,262397872,25543576,262476208,25545268,262493600,25554784,262591376,25528246,262318672,25529346,262329984,25526772,262303536,25526322,262298912,25528122,262317408,25529470,262331264,25527374,262309712,25527854,262314672,25526624,262302000,25365080,262286336
68,68,25552234,262565168,25535516,262393392,25529083.34,262327287,25529826,262334912,25528852,262324912,25539554,262434880,25528502,262321312,25527884,262314976,25531666,262353824,25536142,262399808,25543572,262476160,25545252,262493440,25554586,262589328,25528136,262317552,25529472,262331280,25526876,262304608,25526334,262299040,25528042,262316592,25529268,262329184,25527504,262311072,25527992,262316080,25526720,262303008,25365238,262287968
69,69,25551774,262560432,25535276,262390928,25528937.27,262325786,25529508,262331648,25528604,262322352,25539540,262434736,25528472,262321008,25527920,262315328,25531714,262354320,25535888,262397216,25543272,262473088,25544890,262489712,25554036,262583696,25527954,262315680,25529270,262329216,25526708,262302880,25526164,262297280,25528190,262318096,25529392,262330464,25527282,262308784,25527862,262314736,25526692,262302720,25365076,262286304
70,70,25551496,262557600,25535240,262390560,25529040.52,262326847,25529466,262331216,25528800,262324368,25539760,262437008,25528700,262323344,25527940,262315536,25531682,262353984,25536108,262399472,25543320,262473568,25544822,262489024,25553560,262578800,25528012,262316288,25529440,262330960,25526896,262304800,25526216,262297824,25528198,262318192,25529386,262330400,25527410,262310080,25528038,262316544,25526810,262303920,25365060,262286144
71,71,25551496,262557584,25535216,262390304,25528949.43,262325911,25529508,262331648,25528846,262324848,25539538,262434704,25528548,262321776,25528046,262316640,25531934,262356576,25536006,262398416,25543148,262471808,25544548,262486192,25553370,262576832,25528012,262316288,25529412,262330672,25526858,262304416,25526294,262298624,25528316,262319408,25529492,262331488,25527386,262309856,25527906,262315200,25526864,262304480,25365182,262287392
72,72,25551188,262554416,25535074,262388848,25528874.69,262325143,25529444,262330992,25528738,262323728,25539492,262434240,25528582,262322128,25527902,262315136,25531740,262354592,25535840,262396704,25542862,262468864,25544260,262483248,25552944,262572480,25527998,262316128,25529336,262329888,25526752,262303328,25526084,262296464,25528194,262318144,25529362,262330160,25527230,262308256,25527934,262315472,25526676,262302544,25364970,262285216
73,73,25550794,262550368,25534870,262386752,25529050.25,262326947,25529338,262329904,25528908,262325488,25539472,262434032,25528606,262322384,25527868,262314800,25531594,262353072,25535888,262397216,25542824,262468480,25544158,262482192,25552566,262568576,25527908,262315216,25529608,262332672,25527010,262305984,25526172,262297360,25528070,262316880,25529268,262329184,25527246,262308400,25527978,262315936,25526788,262303712,25365034,262285856
74,74,25550618,262548560,25534754,262385552,25528854.06,262324931,25529350,262330016,25528760,262323952,25539328,262432560,25528548,262321776,25528128,262317456,25531846,262355680,25535776,262396064,25542816,262468400,25543916,262479712,25552356,262566416,25527966,262315808,25529322,262329744,25526792,262303744,25526334,262299024,25528314,262319376,25529450,262331056,25527262,262308576,25527956,262315696,25526716,262302960,25365094,262286480
75,75,25550300,262545312,25534668,262384672,25528881.41,262325212,25529428,262330816,25528856,262324960,25539166,262430880,25528502,262321312,25527974,262315888,25531742,262354608,25535710,262395376,25542670,262466896,25543800,262478512,25551988,262562656,25528048,262316656,25529368,262330208,25526806,262303872,25526146,262297104,25528202,262318240,25529380,262330336,25527220,262308144,25528030,262316464,25526830,262304144,25365070,262286224
76,76,25550110,262543344,25534404,262381968,25528763.17,262323997,25529256,262329056,25528718,262323536,25539000,262429184,25528894,262325344,25527956,262315696,25531736,262354544,25535884,262397168,25542780,262468032,25543534,262475760,25551674,262559408,25527852,262314624,25529276,262329264,25526730,262303104,25526080,262296416,25528180,262318000,25529316,262329664,25527448,262310480,25527944,262315568,25526740,262303200,25365244,262288032
77,77,25549218,262534192,25533846,262376224,25528352.97,262319782,25528752,262323872,25528318,262319424,25538604,262425104,25527954,262315680,25527372,262309696,25531120,262348224,25535226,262390416,25542098,262461024,25542786,262468080,25550756,262549984,25527428,262310288,25528864,262325040,25526330,262299008,25525588,262291376,25527614,262312192,25528666,262322992,25526718,262302976,25527344,262309424,25526130,262296928,25364556,262280912
78,78,25549728,262539424,25534306,262380944,25528838.49,262324771,25529310,262329632,25528830,262324672,25539090,262430112,25528542,262321728,25528012,262316288,25531742,262354592,25535890,262397216,25542670,262466912,25543098,262471312,25551188,262554432,25527954,262315680,25529410,262330656,25526876,262304608,25526290,262298576,25528282,262319040,25529322,262329744,25527426,262310256,25527870,262314816,25526642,262302192,25365164,262287216
79,79,25549574,262537840,25534340,262381296,25528720.54,262323559,25529350,262330032,25528806,262324432,25538970,262428880,25528464,262320928,25528100,262317184,25531812,262355312,25535774,262396032,25542544,262465600,25542816,262468400,25550974,262552240,25527990,262316048,25529272,262329216,25526774,262303552,25526194,262297600,25528336,262319600,25529320,262329712,25527406,262310048,25527776,262313856,25526574,262301504,25365206,262287648
80,80,25549208,262534080,25534148,262379328,25528624,262322567,25529144,262327904,25528714,262323488,25538940,262428576,25528454,262320816,25528090,262317072,25531814,262355360,25535684,262395104,25542408,262464208,25542954,262469808,25550560,262547968,25527790,262314000,25529232,262328816,25526720,262302992,25526148,262297120,25528340,262319632,25529240,262328896,25527280,262308768,25528028,262316432,25526876,262304608,25365112,262286672
81,81,25548952,262531440,25534050,262378320,25528839.75,262324784,25529066,262327104,25528934,262325760,25538974,262428912,25528498,262321264,25528026,262316432,25531744,262354640,25535662,262394896,25542308,262463168,25542842,262468672,25550278,262545072,25527754,262313632,25529414,262330688,25526952,262305392,25526190,262297568,25528234,262318560,25529062,262327056,25527288,262308832,25528012,262316272,25526798,262303808,25365188,262287456
82,82,25548800,262529904,25534038,262378192,25528677.92,262323121,25529212,262328608,25528720,262323568,25538982,262429008,25528526,262321568,25528142,262317616,25531864,262355872,25535730,262395584,25542388,262464000,25542670,262466896,25550144,262543696,25527758,262313664,25529284,262329344,25526842,262304256,25526276,262298448,25528338,262319616,25529090,262327360,25527390,262309888,25527914,262315280,25526722,262303024,25365184,262287424
83,83,25548572,262527552,25534028,262378112,25528780.49,262324175,25529078,262327232,25528924,262325648,25538898,262428128,25528468,262320976,25528002,262316160,25531662,262353776,25535680,262395088,25542376,262463872,25542660,262466800,25549818,262540352,25527798,262314080,25529422,262330768,25526952,262305392,25526166,262297312,25528182,262318032,25528934,262325744,25527336,262309328,25527912,262315264,25526758,262303408,25365144,262287008
84,84,25548368,262525440,25533674,262374448,25528599.38,262322314,25528874,262325120,25528734,262323696,25538516,262424208,25528176,262317968,25528032,262316480,25531754,262354720,25535454,262392752,25542044,262460464,25542310,262463200,25549458,262536656,25527512,262311136,25529192,262328400,25526744,262303264,25526092,262296560,25528198,262318192,25528940,262325808,25527048,262306368,25527700,262313072,25526574,262301504,25364978,262285280
85,85,25548146,262523168,25533516,262372832,25528319.59,262319439,25528518,262321488,25528426,262320544,25538538,262424448,25528102,262317200,25527648,262312544,25531308,262350144,25535268,262390848,25541944,262459440,25541924,262459232,25549044,262532384,25527268,262308640,25528852,262324912,25526412,262299840,25525840,262293952,25527722,262313312,25528482,262321104,25526928,262305136,25527448,262310480,25526336,262299056,25364678,262282192
86,86,25547994,262521600,25533212,262369712,25527954.36,262315686,25528190,262318112,25528186,262318064,25538260,262421584,25527770,262313808,25527586,262311904,25531278,262349840,25535266,262390816,25541878,262458768,25541732,262457264,25548804,262529936,25526942,262305280,25528556,262321872,25526212,262297776,25525408,262289536,25527662,262312688,25528446,262320736,25526906,262304912,25527324,262309200,25526206,262297728,25364742,262282848
87,87,25547874,262520368,25533092,262368480,25527857.43,262314690,25528136,262317552,25528188,262318096,25538118,262420128,25527678,262312848,25527404,262310032,25531090,262347904,25534978,262387856,25541770,262457648,25541516,262455024,25548492,262526736,25526816,262304000,25528446,262320736,25526044,262296064,25525432,262289760,25527452,262310528,25528426,262320528,25526588,262301648,25527076,262306656,25525978,262295376,25364474,262280064
88,88,25547196,262513408,25532622,262363664,25527728.78,262313368,25527594,262312000,25528014,262316304,25537966,262418560,25527534,262311360,25527246,262308400,25530966,262346624,25535054,262388640,25541692,262456864,25541502,262454896,25547626,262517840,25526430,262300032,25528318,262319424,25525954,262295136,25525132,262286688,25527288,262308832,25528058,262316752,25526804,262303872,25527070,262306592,25525944,262295024,25364336,262278640
89,89,25547638,262517952,25532838,262365872,25527564.41,262311679,25527856,262314688,25527964,262315792,25537800,262416848,25527400,262310000,25527252,262308480,25530968,262346656,25534872,262386768,25541664,262456560,25541240,262452192,25547980,262521456,25526550,262301248,25528164,262317840,25525802,262293568,25525122,262286576,25527180,262307728,25527924,262315376,25526364,262299344,25526900,262304848,25525796,262293504,25364120,262276416
90,90,25547464,262516176,25532714,262364592,25527575.79,262311796,25527752,262313600,25527952,262315664,25537692,262415760,25527372,262309712,25527250,262308448,25531028,262347264,25534852,262386576,25541600,262455904,25540918,262448912,25547464,262516160,25526486,262300592,25528196,262318176,25525798,262293536,25525000,262285312,25527188,262307808,25527918,262315312,25526298,262298672,25526754,262303360,25525666,262292176,25364110,262276304
91,91,25547406,262515568,25532520,262362608,25527671.16,262312776,25527590,262311952,25528124,262317440,25537666,262415488,25527502,262311040,25527298,262308944,25531054,262347536,25534906,262387104,25541520,262455072,25540878,262448496,25547168,262513104,25526450,262300224,25528280,262319040,25525838,262293936,25525024,262285568,25527154,262307472,25527948,262315632,25526360,262299312,25526970,262305584,25525844,262294000,25364022,262275408
92,92,25547264,262514112,25532270,262360032,25527585.52,262311896,25527402,262310016,25528012,262316272,25537598,262414784,25527548,262311504,25527466,262310672,25531260,262349648,25535098,262389088,25541676,262456688,25540682,262446464,25546802,262509360,25526232,262298000,25528256,262318784,25525834,262293888,25525294,262288352,25527268,262308624,25528082,262316992,25526502,262300768,25526874,262304576,25525802,262293568,25364306,262278336
93,93,25546926,262510640,25532074,262358016,25527505.04,262311069,25527318,262309152,25527942,262315552,25537254,262411248,25527322,262309184,25527446,262310464,25531224,262349280,25535136,262389472,25541774,262457696,25540462,262444208,25546082,262501968,25526266,262298320,25528220,262318400,25525768,262293216,25524988,262285216,25527226,262308208,25528080,262316960,25526562,262301376,25526886,262304704,25525840,262293952,25364224,262277488
94,94,25546360,262504816,25531692,262354080,25527204.53,262307981,25527088,262306784,25527642,262312480,25537236,262411056,25527496,262310960,25527398,262309984,25531216,262349200,25535058,262388688,25541820,262458160,25540230,262441840,25545532,262496304,25526042,262296032,25527922,262315360,25525480,262290256,25525098,262286336,25527132,262307232,25528056,262316720,25526512,262300864,25526938,262305232,25525870,262294272,25364256,262277808
95,95,25546362,262504848,25531714,262354304,25527402.08,262310011,25527238,262308336,25527908,262315216,25537092,262409568,25527368,262309664,25527188,262307808,25530998,262346960,25534982,262387904,25541882,262458800,25540058,262440064,25545532,262496304,25526306,262298752,25528116,262317344,25525668,262292176,25525002,262285360,25526866,262304496,25527876,262314880,25526418,262299904,25527038,262306272,25525920,262294784,25364156,262276784
96,96,25546052,262501664,25531570,262352848,25527547.57,262311506,25527206,262308000,25528110,262317296,25536970,262408336,25527258,262308528,25527356,262309536,25531190,262348944,25535056,262388656,25541892,262458896,25539834,262437760,25544954,262490368,25526402,262299728,25528254,262318768,25525874,262294320,25524886,262284160,25526942,262305280,25527998,262316128,25526574,262301504,25526970,262305584,25525866,262294224,25364184,262277088
97,97,25545514,262496128,25531292,262349984,25527325.49,262309224,25527014,262306016,25527884,262314960,25536792,262406496,25527260,262308560,25527392,262309904,25531170,262348736,25534964,262387712,25541798,262457936,25539604,262435392,25544272,262483360,25526228,262297952,25528010,262316256,25525638,262291888,25524950,262284800,25527016,262306048,25528128,262317472,25526458,262300304,25527002,262305904,25525852,262294096,25364252,262277776
98,98,25545240,262493312,25531138,262348416,25527031.88,262306207,25526964,262305504,25527786,262313968,25536778,262406352,25527334,262309296,25527344,262309424,25531122,262348224,25534900,262387056,25541906,262459056,25539428,262433600,25544088,262481456,25526162,262297280,25527712,262313200,25525362,262289040,25525112,262286480,25526956,262305424,25528142,262317616,25526424,262299968,25527030,262306192,25525914,262294720,25364242,262277680
99,99,25545054,262491392,25530976,262346736,25527286.27,262308821,25526902,262304880,25527924,262315376,25536804,262406624,25527260,262308544,25527252,262308480,25531100,262348000,25534814,262386176,25541892,262458912,25539150,262430736,25543720,262477680,25526104,262296672,25528020,262316352,25525678,262292304,25525144,262286800,25526896,262304816,25528142,262317616,25526450,262300224,25526958,262305456,25525808,262293632,25364266,262277920
100,100,25544610,262486848,25530858,262345520,25527066.04,262306558,25526872,262304576,25527742,262313504,25536700,262405552,25527360,262309568,25527330,262309264,25531212,262349152,25534682,262384816,25541866,262458624,25538894,262428096,25543140,262471728,25526076,262296384,25527756,262313648,25525522,262290688,25524964,262284960,25526962,262305488,25528186,262318064,25526430,262300016,25526954,262305408,25525802,262293568,25364308,262278352
101,101,25544268,262483328,25530742,262344336,25526974.37,262305616,25526808,262303904,25527684,262312896,25536532,262403824,25527274,262308704,25527132,262307232,25531022,262347200,25534532,262383280,25541390,262453760,25538690,262425984,25542770,262467920,25526016,262295776,25527652,262312576,25525490,262290368,25524998,262285312,25526782,262303632,25528032,262316496,25526156,262297216,25526994,262305824,25525846,262294032,25364100,262276208
102,102,25543742,262477920,25530558,262342432,25526868.59,262304529,25526760,262303408,25527588,262311920,25536214,262400560,25527062,262306528,25527102,262306928,25530976,262346736,25534254,262380432,25541210,262451888,25538446,262423488,25542188,262461952,25525890,262294480,25527478,262310784,25525318,262288608,25524992,262285248,25526746,262303280,25528002,262316160,25526106,262296688,25526880,262304656,25525784,262293392,25364032,262275488
103,103,25543820,262478720,25530604,262342912,25527136.89,262307286,25526894,262304784,25527880,262314912,25536312,262401552,25527340,262309376,25526758,262303392,25530682,262343712,25533764,262375392,25540590,262445536,25537810,262416960,25542194,262462016,25526006,262295664,25527760,262313680,25525608,262291568,25525158,262286944,25526502,262300752,25527728,262313360,25525750,262293024,25526430,262300016,25525304,262288448,25363742,262272512
104,104,25543540,262475856,25530648,262343376,25526985.27,262305728,25526958,262305456,25527714,262313232,25536098,262399360,25527212,262308048,25527204,262307984,25531092,262347936,25534356,262381472,25540928,262448992,25538240,262421376,25541896,262458944,25526076,262296384,25527632,262312368,25525524,262290704,25525114,262286512,25526982,262305696,25528228,262318496,25526406,262299776,25527068,262306576,25526006,262295664,25364412,262279424
105,105,25543230,262472640,25530170,262338448,25526768.83,262303504,25526596,262301712,25527528,262311296,25536050,262398864,25527334,262309328,25527058,262306480,25531054,262347536,25534354,262381456,25540694,262446592,25538044,262419360,25541472,262454592,25525698,262292496,25527356,262309536,25525248,262287872,25525172,262287104,25526914,262304992,25528044,262316608,25526428,262300000,25526958,262305440,25525820,262293760,25364314,262278416
106,106,25543220,262472544,25530486,262341696,25526973.69,262305609,25526916,262305024,25527694,262313008,25535848,262396800,25527192,262307840,25527102,262306928,25531104,262348048,25534248,262380352,25540454,262444128,25537816,262417024,25541380,262453648,25526014,262295744,25527522,262311248,25525486,262290320,25525042,262285760,25526918,262305040,25528068,262316848,25526438,262300096,25526892,262304768,25525768,262293216,25364292,262278192
107,107,25542988,262470176,25530122,262337952,25526979.04,262305664,25526738,262303184,25527670,262312768,25535820,262396512,25527196,262307888,25526932,262305184,25531044,262347424,25533940,262377200,25540048,262439952,25537736,262416192,25541040,262450144,25525740,262292944,25527532,262311360,25525546,262290944,25525066,262286016,25526946,262305328,25527872,262314832,25526174,262297392,25526858,262304432,25525752,262293056,25364150,262276720
108,108,25542670,262466896,25529822,262334880,25526554.83,262301305,25526482,262300560,25527244,262308400,25535334,262391520,25526850,262304336,25526720,262303008,25530806,262344992,25533700,262374720,25539728,262436672,25537520,262413984,25540688,262446528,25525522,262290704,25527096,262306864,25525154,262286912,25524796,262283216,25526570,262301472,25527674,262312800,25526010,262295696,25526752,262303328,25525626,262291776,25364018,262275360
109,109,25542402,262464160,25529818,262334832,25526430.95,262300032,25526500,262300736,25527126,262307168,25535256,262390704,25526862,262304464,25526642,262302208,25530734,262344240,25533682,262374544,25539700,262436384,25537564,262414432,25540294,262442496,25525540,262290864,25526998,262305872,25525200,262287376,25524868,262283968,25526572,262301472,25527664,262312704,25526208,262297744,25526806,262303888,25525732,262292848,25364116,262276368
110,110,25542348,262463584,25529836,262335024,25526733.22,262303138,25526586,262301616,25527448,262310480,25535422,262392416,25527136,262307280,25526900,262304848,25531022,262347216,25533694,262374656,25539470,262434016,25537604,262414848,25540220,262441712,25525678,262292304,25527268,262308640,25525372,262289152,25525062,262285952,25526836,262304192,25527920,262315328,25526250,262298176,25526980,262305664,25525950,262295072,25364336,262278640
111,111,25542190,262461968,25529706,262333696,25526581.98,262301584,25526488,262300624,25527690,262312960,25535268,262390832,25527020,262306096,25526818,262304016,25530884,262345792,25533634,262374048,25539312,262432400,25537498,262413760,25539886,262438288,25525594,262291424,25527104,262306944,25525258,262287984,25525006,262285392,25526764,262303456,25527806,262314160,25526306,262298752,25526886,262304704,25525856,262294128,25364358,262278880
