 ,Label,IntDen,RawIntDen
1,set1.tif:exp50,25529800.864,262334660
2,set1.tif:exp50,25538528.508,262424342
3,set1.tif:exp50,25525994.964,262295552
4,set1.tif:exp50,25526040.898,262296024
5,set1.tif:exp50,25532583.371,262363252
6,set1.tif:exp50,25535452.880,262392738.000
7,set1.tif:exp50,25527972.654,262315874.000
8,set1.tif:exp50,25526729.420,262303099
9,set1.tif:exp50,25549602.871,262538138
10,set1.tif:exp50,25526462.965,262300361
11,set1.tif:exp50,25528543.422,262321739.000
12,set1.tif:exp50,25526704.020,262302838.000
13,set1.tif:exp50label,25248938.337,259448622.000
14,set1.tif:exp50label,25260399.246,259566390
15,set1.tif:exp50label,25259263.938,259554724
16,set1.tif:exp50label,25263706.685,259600376
17,set1.tif:exp50label,25255735.588,259518468.000
18,set1.tif:exp50label,25265860.909,259622512.000
19,set1.tif:exp50label,25239407.919,259350691.000
20,set1.tif:exp50label,25271333.277,259678744.000
21,set1.tif:exp50label,25278559.017,259752993.000
22,set1.tif:exp50label,24994390.317,256832982
23,set1.tif:exp50label,24986800.608,256754993
24,set1.tif:exp50label,24981564.625,256701190
25,set1.tif:exp54,25529709.093,262333717.000
26,set1.tif:exp54,25538412.895,262423154
27,set1.tif:exp54,25526239.815,262298068.000
28,set1.tif:exp54,25526157.971,262297227.000
29,set1.tif:exp54,25533760.915,262375352.000
30,set1.tif:exp54,25535551.074,262393747
31,set1.tif:exp54,25527796.995,262314069.000
32,set1.tif:exp54,25526770.488,262303521
33,set1.tif:exp54,25547747.120,262519069
34,set1.tif:exp54,25526675.701,262302547
35,set1.tif:exp54,25528736.306,262323721.000
36,set1.tif:exp54,25526542.960,262301183
37,set1.tif:exp58,25530775.598,262344676
38,set1.tif:exp58,25539877.818,262438207
39,set1.tif:exp58,25527855.094,262314666.000
40,set1.tif:exp58,25527058.062,262306476.000
41,set1.tif:exp58,25534087.124,262378704.000
42,set1.tif:exp58,25536230.546,262400729
43,set1.tif:exp58,25528599.088,262322311
44,set1.tif:exp58,25526967.459,262305545.000
45,set1.tif:exp58,25546695.311,262508261
46,set1.tif:exp58,25527868.718,262314806.000
47,set1.tif:exp58,25529736.829,262334002.000
48,set1.tif:exp58,25526582.276,262301587
49,set1.tif:exp512,25531379.259,262350879.000
50,set1.tif:exp512,25540098.826,262440478.000
51,set1.tif:exp512,25529571.194,262332300.000
52,set1.tif:exp512,25530112.183,262337859.000
53,set1.tif:exp512,25537552.217,262414310
54,set1.tif:exp512,25538447.345,262423508
55,set1.tif:exp512,25529561.560,262332201
56,set1.tif:exp512,25527505.237,262311071.000
57,set1.tif:exp512,25546607.043,262507354
58,set1.tif:exp512,25528267.332,262318902
59,set1.tif:exp512,25530126.975,262338011
60,set1.tif:exp512,25526882.112,262304668.000
61,set1.tif:exp516,25532909.093,262366599.000
62,set1.tif:exp516,25542170.428,262461765
63,set1.tif:exp516,25532068.560,262357962
64,set1.tif:exp516,25529937.984,262336069.000
65,set1.tif:exp516,25537242.455,262411127.000
66,set1.tif:exp516,25537556.596,262414355.000
67,set1.tif:exp516,25529378.505,262330320.000
68,set1.tif:exp516,25527640.217,262312458.000
69,set1.tif:exp516,25546483.158,262506081.000
70,set1.tif:exp516,25529088.498,262327340
71,set1.tif:exp516,25530956.900,262346539
72,set1.tif:exp516,25527729.262,262313373
73,set1.tif:exp520,25531966.766,262356916.000
74,set1.tif:exp520,25541886.747,262458850.000
75,set1.tif:exp520,25532134.250,262358637.000
76,set1.tif:exp520,25529871.808,262335389.000
77,set1.tif:exp520,25537908.108,262417967.000
78,set1.tif:exp520,25536843.258,262407025.000
79,set1.tif:exp520,25528115.127,262317338
80,set1.tif:exp520,25526731.756,262303123.000
81,set1.tif:exp520,25545720.869,262498248
82,set1.tif:exp520,25528731.148,262323668.000
83,set1.tif:exp520,25530427.979,262341104.000
84,set1.tif:exp520,25527282.866,262308786.000
85,set1.tif:exp524,25532093.474,262358218
86,set1.tif:exp524,25542020.753,262460227
87,set1.tif:exp524,25532587.945,262363299.000
88,set1.tif:exp524,25529758.725,262334227.000
89,set1.tif:exp524,25537923.971,262418130.000
90,set1.tif:exp524,25537527.693,262414058.000
91,set1.tif:exp524,25528066.663,262316840.000
92,set1.tif:exp524,25526600.474,262301774.000
93,set1.tif:exp524,25546492.209,262506174
94,set1.tif:exp524,25528684.241,262323186
95,set1.tif:exp524,25531230.168,262349347
96,set1.tif:exp524,25527116.842,262307080
97,set1.tif:exp528,25532462.405,262362009
98,set1.tif:exp528,25542420.826,262464338.000
99,set1.tif:exp528,25532886.710,262366369.000
100,set1.tif:exp528,25530065.470,262337379
101,set1.tif:exp528,25538780.853,262426935.000
102,set1.tif:exp528,25537846.603,262417335.000
103,set1.tif:exp528,25528447.856,262320757.000
104,set1.tif:exp528,25526992.957,262305807.000
105,set1.tif:exp528,25547046.725,262511872.000
106,set1.tif:exp528,25528868.658,262325081
107,set1.tif:exp528,25531845.703,262355672.000
108,set1.tif:exp528,25527370.063,262309682.000
109,set1.tif:exp532,25533355.781,262371189
110,set1.tif:exp532,25542949.650,262469772
111,set1.tif:exp532,25533542.145,262373104.000
112,set1.tif:exp532,25531105.407,262348065
113,set1.tif:exp532,25539996.448,262439426.000
114,set1.tif:exp532,25538835.448,262427496.000
115,set1.tif:exp532,25529044.413,262326887
116,set1.tif:exp532,25528076.881,262316945.000
117,set1.tif:exp532,25548654.413,262528392.000
118,set1.tif:exp532,25529711.915,262333746
119,set1.tif:exp532,25532569.844,262363113
120,set1.tif:exp532,25528390.341,262320166
121,set1.tif:exp536,25533288.243,262370495.000
122,set1.tif:exp536,25542766.693,262467892
123,set1.tif:exp536,25532668.913,262364131
124,set1.tif:exp536,25530418.344,262341005
125,set1.tif:exp536,25539226.470,262431514.000
126,set1.tif:exp536,25538800.608,262427138
127,set1.tif:exp536,25528844.328,262324831
128,set1.tif:exp536,25527666.103,262312724
129,set1.tif:exp536,25549076.188,262532726.000
130,set1.tif:exp536,25528917.706,262325585
131,set1.tif:exp536,25531751.305,262354702.000
132,set1.tif:exp536,25528323.679,262319481
133,set1.tif:exp540,25533759.747,262375340
134,set1.tif:exp540,25542720.272,262467415
135,set1.tif:exp540,25533325.126,262370874
136,set1.tif:exp540,25531055.483,262347552
137,set1.tif:exp540,25539783.030,262437233.000
138,set1.tif:exp540,25539558.032,262434921.000
139,set1.tif:exp540,25529449.450,262331049.000
140,set1.tif:exp540,25528377.495,262320034.000
141,set1.tif:exp540,25549872.441,262540908.000
142,set1.tif:exp540,25528804.623,262324423.000
143,set1.tif:exp540,25530151.402,262338262.000
144,set1.tif:exp540,25528944.760,262325863.000
145,set1.tif:exp573,25533467.502,262372337.000
146,set1.tif:exp573,25540446.445,262444050
147,set1.tif:exp573,25530609.184,262342966.000
148,set1.tif:exp573,25529424.147,262330789.000
149,set1.tif:exp573,25539361.061,262432897.000
150,set1.tif:exp573,25538022.164,262419139
151,set1.tif:exp573,25530364.430,262340451
152,set1.tif:exp573,25529396.022,262330500
153,set1.tif:exp573,25543496.965,262475396.000
154,set1.tif:exp573,25528037.273,262316538
155,set1.tif:exp573,25528287.671,262319111
