 ,Label,IntDen,RawIntDen
1,exp6set1.tif:exp6106,26266343.3,262401937
2,exp6set1.tif:exp6106,26276805.52,262506455
3,exp6set1.tif:exp6106,26259131.93,262329895
4,exp6set1.tif:exp6106,26260236.62,262340931
5,exp6set1.tif:exp6106,26274356.08,262481985
6,exp6set1.tif:exp6106,26260291.98,262341484
7,exp6set1.tif:exp6106,26274718.14,262485602
8,exp6set1.tif:exp6106,26264191.86,262380444
9,exp6set1.tif:exp6106,26296696.72,262705169
10,exp6set1.tif:exp6106,26291785.83,262656109
11,exp6set1.tif:exp6106,26263199.98,262370535
12,exp6set1.tif:exp6106,26275473.09,262493144
13,exp6set1.tif:exp6106,26256053.86,262299145
14,exp6set1.tif:exp6106,26255535.54,262293967
15,exp6set1.tif:exp6106,26270671.31,262445174
16,exp6set1.tif:exp6106,26261333.32,262351887
17,exp6set1.tif:exp6106,26266483.54,262403338
18,exp6set1.tif:exp6106,26255326.84,262291882
19,exp6set1.tif:exp6106,26267974.53,262418233
20,exp6set1.tif:exp6106,26258761.06,262326190
21,exp6set1.tif:exp6109,26265696.06,262395471
22,exp6set1.tif:exp6109,26275085.01,262489267
23,exp6set1.tif:exp6109,26259367.46,262332248
24,exp6set1.tif:exp6109,26260837.42,262346933
25,exp6set1.tif:exp6109,26273025.46,262468692
26,exp6set1.tif:exp6109,26260623.81,262344799
27,exp6set1.tif:exp6109,26273463.39,262473067
28,exp6set1.tif:exp6109,26263674.05,262375271
29,exp6set1.tif:exp6109,26292571.82,262663961
30,exp6set1.tif:exp6109,26290436.19,262642626
31,exp6set1.tif:exp6109,26263100.58,262369542
32,exp6set1.tif:exp6109,26273974.2,262478170
33,exp6set1.tif:exp6109,26255968.68,262298294
34,exp6set1.tif:exp6109,26255574.08,262294352
35,exp6set1.tif:exp6109,26269815.96,262436629
36,exp6set1.tif:exp6109,26262045.03,262358997
37,exp6set1.tif:exp6109,26266002.97,262398537
38,exp6set1.tif:exp6109,26255614.62,262294757
39,exp6set1.tif:exp6109,26267995.25,262418440
40,exp6set1.tif:exp6109,26258762.76,262326207
41,exp6set1.tif:exp6113,26266661.32,262405114
42,exp6set1.tif:exp6113,26277367.68,262512071
43,exp6set1.tif:exp6113,26261575.16,262354303
44,exp6set1.tif:exp6113,26266349.81,262402002
45,exp6set1.tif:exp6113,26274470.4,262483127
46,exp6set1.tif:exp6113,26261160.54,262350161
47,exp6set1.tif:exp6113,26275599.92,262494411
48,exp6set1.tif:exp6113,26264715.98,262385680
49,exp6set1.tif:exp6113,26296245.77,262700664
50,exp6set1.tif:exp6113,26290772.22,262645983
51,exp6set1.tif:exp6113,26263910.08,262377629
52,exp6set1.tif:exp6113,26276607.12,262504473
53,exp6set1.tif:exp6113,26256478.88,262303391
54,exp6set1.tif:exp6113,26255795,262296559
55,exp6set1.tif:exp6113,26270155,262440016
56,exp6set1.tif:exp6113,26262045.63,262359003
57,exp6set1.tif:exp6113,26265930.19,262397810
58,exp6set1.tif:exp6113,26255546.86,262294080
59,exp6set1.tif:exp6113,26268704.15,262425522
60,exp6set1.tif:exp6113,26258891.69,262327495
61,exp6set1.tif:exp6117,26266669.63,262405197
62,exp6set1.tif:exp6117,26280460.76,262542971
63,exp6set1.tif:exp6117,26262314.19,262361686
64,exp6set1.tif:exp6117,26269105.25,262429529
65,exp6set1.tif:exp6117,26275161.18,262490028
66,exp6set1.tif:exp6117,26261480.16,262353354
67,exp6set1.tif:exp6117,26276091.71,262499324
68,exp6set1.tif:exp6117,26264599.37,262384515
69,exp6set1.tif:exp6117,26297655.68,262714749
70,exp6set1.tif:exp6117,26290428.18,262642546
71,exp6set1.tif:exp6117,26264017.59,262378703
72,exp6set1.tif:exp6117,26277290.1,262511296
73,exp6set1.tif:exp6117,26256414.22,262302745
74,exp6set1.tif:exp6117,26255886.29,262297471
75,exp6set1.tif:exp6117,26270157.8,262440044
76,exp6set1.tif:exp6117,26262339.92,262361943
77,exp6set1.tif:exp6117,26265767.73,262396187
78,exp6set1.tif:exp6117,26255575.38,262294365
79,exp6set1.tif:exp6117,26268949.5,262427973
80,exp6set1.tif:exp6117,26258863.46,262327213
81,exp6set1.tif:exp6121,26265751.01,262396020
82,exp6set1.tif:exp6121,26278296.7,262521352
83,exp6set1.tif:exp6121,26262529.51,262363837
84,exp6set1.tif:exp6121,26270349.99,262441964
85,exp6set1.tif:exp6121,26274477.3,262483196
86,exp6set1.tif:exp6121,26260943.03,262347988
87,exp6set1.tif:exp6121,26274886.21,262487281
88,exp6set1.tif:exp6121,26264374.14,262382265
89,exp6set1.tif:exp6121,26297029.55,262708494
90,exp6set1.tif:exp6121,26290666.32,262644925
91,exp6set1.tif:exp6121,26263390.16,262372435
92,exp6set1.tif:exp6121,26276901.32,262507412
93,exp6set1.tif:exp6121,26256065.67,262299263
94,exp6set1.tif:exp6121,26255430.14,262292914
95,exp6set1.tif:exp6121,26269981.03,262438278
96,exp6set1.tif:exp6121,26262215.9,262360704
97,exp6set1.tif:exp6121,26265149.12,262390007
98,exp6set1.tif:exp6121,26255072.98,262289346
99,exp6set1.tif:exp6121,26269045.79,262428935
100,exp6set1.tif:exp6121,26258588.68,262324468
101,exp6set1.tif:exp6125,26267369.13,262412185
102,exp6set1.tif:exp6125,26281922.51,262557574
103,exp6set1.tif:exp6125,26264715.28,262385673
104,exp6set1.tif:exp6125,26272495.63,262463399
105,exp6set1.tif:exp6125,26275497.92,262493392
106,exp6set1.tif:exp6125,26262126.31,262359809
107,exp6set1.tif:exp6125,26275524.24,262493655
108,exp6set1.tif:exp6125,26264574.14,262384263
109,exp6set1.tif:exp6125,26297961.88,262717808
110,exp6set1.tif:exp6125,26293341.38,262671649
111,exp6set1.tif:exp6125,26264700.57,262385526
112,exp6set1.tif:exp6125,26278244.35,262520829
113,exp6set1.tif:exp6125,26257002.91,262308626
114,exp6set1.tif:exp6125,26256237.74,262300982
115,exp6set1.tif:exp6125,26271041.68,262448874
116,exp6set1.tif:exp6125,26263191.07,262370446
117,exp6set1.tif:exp6125,26266142,262399926
118,exp6set1.tif:exp6125,26255735.64,262295966
119,exp6set1.tif:exp6125,26270367.21,262442136
120,exp6set1.tif:exp6125,26259385.58,262332429
121,exp6set1.tif:exp6129,26268560.61,262424088
122,exp6set1.tif:exp6129,26278975.88,262528137
123,exp6set1.tif:exp6129,26265047.41,262388991
124,exp6set1.tif:exp6129,26273940.37,262477832
125,exp6set1.tif:exp6129,26276168.09,262500087
126,exp6set1.tif:exp6129,26262260.74,262361152
127,exp6set1.tif:exp6129,26275926.75,262497676
128,exp6set1.tif:exp6129,26264736.6,262385886
129,exp6set1.tif:exp6129,26298515.23,262723336
130,exp6set1.tif:exp6129,26292163.41,262659881
131,exp6set1.tif:exp6129,26265014.58,262388663
132,exp6set1.tif:exp6129,26278887.39,262527253
133,exp6set1.tif:exp6129,26257407.71,262312670
134,exp6set1.tif:exp6129,26256539.64,262303998
135,exp6set1.tif:exp6129,26271420.46,262452658
136,exp6set1.tif:exp6129,26263487.86,262373411
137,exp6set1.tif:exp6129,26266462.32,262403126
138,exp6set1.tif:exp6129,26255831.64,262296925
139,exp6set1.tif:exp6129,26271109.85,262449555
140,exp6set1.tif:exp6129,26259656.15,262335132
141,exp6set1.tif:exp6133,26269161.11,262430087
142,exp6set1.tif:exp6133,26280900.9,262547368
143,exp6set1.tif:exp6133,26265619.08,262394702
144,exp6set1.tif:exp6133,26274669.09,262485112
145,exp6set1.tif:exp6133,26276767.38,262506074
146,exp6set1.tif:exp6133,26262529.81,262363840
147,exp6set1.tif:exp6133,26276777.39,262506174
148,exp6set1.tif:exp6133,26265050.12,262389018
149,exp6set1.tif:exp6133,26299976.49,262737934
150,exp6set1.tif:exp6133,26293877.92,262677009
151,exp6set1.tif:exp6133,26265251.62,262391031
152,exp6set1.tif:exp6133,26279360.36,262531978
153,exp6set1.tif:exp6133,26257461.86,262313211
154,exp6set1.tif:exp6133,26256828.73,262306886
155,exp6set1.tif:exp6133,26271944.08,262457889
156,exp6set1.tif:exp6133,26264051.22,262379039
157,exp6set1.tif:exp6133,26266827.69,262406776
158,exp6set1.tif:exp6133,26255941.55,262298023
159,exp6set1.tif:exp6133,26271650.69,262454958
160,exp6set1.tif:exp6133,26259824.71,262336816
161,exp6set1.tif:exp6137,26269193.64,262430412
162,exp6set1.tif:exp6137,26279964.16,262538010
163,exp6set1.tif:exp6137,26265752.22,262396032
164,exp6set1.tif:exp6137,26274194.42,262480370
165,exp6set1.tif:exp6137,26277546.36,262513856
166,exp6set1.tif:exp6137,26262900.68,262367545
167,exp6set1.tif:exp6137,26277605.52,262514447
168,exp6set1.tif:exp6137,26265051.32,262389030
169,exp6set1.tif:exp6137,26301455.46,262752709
170,exp6set1.tif:exp6137,26295034.67,262688565
171,exp6set1.tif:exp6137,26265612.98,262394641
172,exp6set1.tif:exp6137,26279869.87,262537068
173,exp6set1.tif:exp6137,26257511.01,262313702
174,exp6set1.tif:exp6137,26256800.5,262306604
175,exp6set1.tif:exp6137,26272599.93,262464441
176,exp6set1.tif:exp6137,26264708.78,262385608
177,exp6set1.tif:exp6137,26267266.72,262411162
178,exp6set1.tif:exp6137,26256001.51,262298622
179,exp6set1.tif:exp6137,26271888.83,262457337
180,exp6set1.tif:exp6137,26259868.96,262337258
181,exp6set1.tif:exp6141,26269142.59,262429902
182,exp6set1.tif:exp6141,26280171.97,262540086
183,exp6set1.tif:exp6141,26265545.51,262393967
184,exp6set1.tif:exp6141,26272849.58,262466935
185,exp6set1.tif:exp6141,26277367.18,262512066
186,exp6set1.tif:exp6141,26262551.33,262364055
187,exp6set1.tif:exp6141,26277769.38,262516084
188,exp6set1.tif:exp6141,26265189.56,262390411
189,exp6set1.tif:exp6141,26301274.88,262750905
190,exp6set1.tif:exp6141,26296013.84,262698347
191,exp6set1.tif:exp6141,26265390.36,262392417
192,exp6set1.tif:exp6141,26280187.39,262540240
193,exp6set1.tif:exp6141,26257488.49,262313477
194,exp6set1.tif:exp6141,26256821.73,262306816
195,exp6set1.tif:exp6141,26272857.89,262467018
196,exp6set1.tif:exp6141,26264667.14,262385192
197,exp6set1.tif:exp6141,26267404.06,262412534
198,exp6set1.tif:exp6141,26255982.79,262298435
199,exp6set1.tif:exp6141,26272047.98,262458927
200,exp6set1.tif:exp6141,26260010.1,262338668
201,exp6set1.tif:exp6173,26268247.3,262420958
202,exp6set1.tif:exp6173,26272065,262459097
203,exp6set1.tif:exp6173,26261918.3,262357731
204,exp6set1.tif:exp6173,26265478.44,262393297
205,exp6set1.tif:exp6173,26272534.07,262463783
206,exp6set1.tif:exp6173,26261595.88,262354510
207,exp6set1.tif:exp6173,26273519.15,262473624
208,exp6set1.tif:exp6173,26263658.13,262375112
209,exp6set1.tif:exp6173,26289406.16,262632336
210,exp6set1.tif:exp6173,26287701.47,262615306
211,exp6set1.tif:exp6173,26265173.84,262390254
212,exp6set1.tif:exp6173,26271665.9,262455110
213,exp6set1.tif:exp6173,26257405.51,262312648
214,exp6set1.tif:exp6173,26256730.13,262305901
215,exp6set1.tif:exp6173,26272283.82,262461283
216,exp6set1.tif:exp6173,26263454.63,262373079
217,exp6set1.tif:exp6173,26266489.35,262403396
218,exp6set1.tif:exp6173,26256450.56,262303108
219,exp6set1.tif:exp6173,26270074.22,262439209
220,exp6set1.tif:exp6173,26260114.2,262339708
221,exp6set1.tif:exp6175,26269317.87,262431653
222,exp6set1.tif:exp6175,26275600.82,262494420
223,exp6set1.tif:exp6175,26262765.34,262366193
224,exp6set1.tif:exp6175,26268358.61,262422070
225,exp6set1.tif:exp6175,26273344.77,262471882
226,exp6set1.tif:exp6175,26262277.16,262361316
227,exp6set1.tif:exp6175,26274950.07,262487919
228,exp6set1.tif:exp6175,26264402.97,262382553
229,exp6set1.tif:exp6175,26291913.36,262657383
230,exp6set1.tif:exp6175,26289206.47,262630341
231,exp6set1.tif:exp6175,26265502.57,262393538
232,exp6set1.tif:exp6175,26272914.95,262467588
233,exp6set1.tif:exp6175,26257709.31,262315683
234,exp6set1.tif:exp6175,26256972.88,262308326
235,exp6set1.tif:exp6175,26272989.62,262468334
236,exp6set1.tif:exp6175,26264754.12,262386061
237,exp6set1.tif:exp6175,26267298.36,262411478
238,exp6set1.tif:exp6175,26256522.53,262303827
239,exp6set1.tif:exp6175,26271368.01,262452134
240,exp6set1.tif:exp6175,26260570.26,262344264
241,exp6set1.tif:exp6177,26270228.57,262440751
242,exp6set1.tif:exp6177,26277310.22,262511497
243,exp6set1.tif:exp6177,26262885.06,262367389
244,exp6set1.tif:exp6177,26269207.56,262430551
245,exp6set1.tif:exp6177,26275126.15,262489678
246,exp6set1.tif:exp6177,26262302.68,262361571
247,exp6set1.tif:exp6177,26277119.83,262509595
248,exp6set1.tif:exp6177,26265001.17,262388529
249,exp6set1.tif:exp6177,26295820.95,262696420
250,exp6set1.tif:exp6177,26293124.97,262669487
251,exp6set1.tif:exp6177,26265075.34,262389270
252,exp6set1.tif:exp6177,26275275.8,262491173
253,exp6set1.tif:exp6177,26257203,262310625
254,exp6set1.tif:exp6177,26256402.61,262302629
255,exp6set1.tif:exp6177,26274678.1,262485202
256,exp6set1.tif:exp6177,26265063.73,262389154
257,exp6set1.tif:exp6177,26268091.65,262419403
258,exp6set1.tif:exp6177,26256408.51,262302688
259,exp6set1.tif:exp6177,26272647.68,262464918
260,exp6set1.tif:exp6177,26260510.6,262343668
261,exp6set1.tif:exp6189,26268273.83,262421223
262,exp6set1.tif:exp6189,26274060.49,262479032
263,exp6set1.tif:exp6189,26260203.19,262340597
264,exp6set1.tif:exp6189,26262965.94,262368197
265,exp6set1.tif:exp6189,26272677.81,262465219
266,exp6set1.tif:exp6189,26261876.66,262357315
267,exp6set1.tif:exp6189,26276429.05,262502694
268,exp6set1.tif:exp6189,26264849.22,262387011
269,exp6set1.tif:exp6189,26296133.06,262699538
270,exp6set1.tif:exp6189,26289181.14,262630088
271,exp6set1.tif:exp6189,26262899.38,262367532
272,exp6set1.tif:exp6189,26276648.56,262504887
273,exp6set1.tif:exp6189,26256745.35,262306053
274,exp6set1.tif:exp6189,26256159.17,262300197
275,exp6set1.tif:exp6189,26273065.3,262469090
276,exp6set1.tif:exp6189,26264053.32,262379060
277,exp6set1.tif:exp6189,26266365.03,262402154
278,exp6set1.tif:exp6189,26256058.77,262299194
279,exp6set1.tif:exp6189,26269915.86,262437627
280,exp6set1.tif:exp6189,26260337.83,262341942
