 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,,background
11,11,25406816,262393696,25405684,262382000,25412056,262447808,25458268,262925072,25409584,262422272,25442524,262762480,25414176,262469696,25415492,262483296,25424350,262574784,25404850,262373392,25400244,262325824,25414488,262472912,25413384,262461536,25409904,262425584,25419140,262520976,25398746,262310352,25423282,262563760,25423722,262568288,25432534,262659312,25496188,262283152
12,12,25406566,262391104,25405224,262377248,25410896,262435824,25452534,262865840,25408838,262414576,25441404,262750912,25413510,262462832,25415026,262478480,25423334,262564288,25404558,262370368,25400520,262328672,25413934,262467200,25412638,262453824,25409514,262421552,25418082,262510048,25398884,262311760,25421900,262549488,25422500,262555664,25430808,262641472,25496346,262284768
13,13,25406432,262389728,25405278,262377808,25410668,262433472,25451152,262851584,25408108,262407040,25441148,262748256,25413424,262461936,25414816,262476304,25423138,262562256,25404546,262370256,25400400,262327424,25413854,262466368,25412898,262456496,25409606,262422512,25417886,262508016,25398874,262311664,25421790,262548336,25422656,262557280,25430542,262638720,25496342,262284736
14,14,25406396,262389360,25405240,262377424,25410308,262429760,25450096,262840688,25407808,262403936,25440396,262740496,25413214,262459760,25414768,262475808,25423168,262562560,25404586,262370656,25400574,262329232,25413698,262464768,25412992,262457472,25409336,262419712,25417176,262500688,25399046,262313440,25421494,262545280,25422788,262558640,25429924,262632336,25496464,262286000
15,15,25406122,262386528,25404988,262374800,25410080,262427392,25449620,262835744,25407460,262400336,25439426,262730480,25412586,262453280,25414576,262473824,25423092,262561776,25404338,262368096,25400474,262328208,25413206,262459680,25412982,262457376,25408870,262414912,25416310,262491744,25398994,262312912,25422052,262551056,25422656,262557280,25429516,262628128,25496596,262287344
16,16,25405824,262383440,25404792,262372784,25409916,262425696,25448998,262829328,25407012,262395712,25438202,262717840,25411946,262446672,25413908,262466928,25422498,262555664,25404356,262368288,25400420,262327632,25412624,262453680,25412964,262457184,25408576,262411872,25415864,262487152,25398954,262312480,25422402,262554656,25422686,262557584,25429332,262626224,25496516,262286528
17,17,25405578,262380912,25404910,262374000,25409908,262425632,25448228,262821392,25406874,262394288,25437536,262710960,25411762,262444784,25413732,262465120,25422040,262550928,25404340,262368128,25400336,262326768,25412350,262450848,25412798,262455472,25408406,262410128,25415994,262488480,25399204,262315072,25422730,262558048,25422396,262554592,25428930,262622080,25496802,262289472
18,18,25405132,262376304,25404714,262371984,25409304,262419392,25446586,262804432,25406316,262388544,25436572,262701008,25411336,262440368,25413442,262462128,25421602,262546384,25404114,262365792,25400304,262326448,25412072,262447984,25412362,262450960,25408208,262408064,25415636,262484784,25398930,262312256,25422038,262550912,25422110,262551648,25428058,262613072,25496602,262287424
19,19,25405246,262377472,25404978,262374704,25409182,262418128,25445768,262795968,25406234,262387680,25436230,262697472,25411456,262441600,25413620,262463952,25421636,262546752,25404162,262366272,25400136,262324688,25412242,262449728,25412370,262451040,25408518,262411264,25415674,262485184,25398964,262312592,25421484,262545184,25422084,262551376,25427532,262607632,25496580,262287184
20,20,25405218,262377200,25404994,262374864,25408996,262416192,25444960,262787632,25406078,262386064,25435562,262690576,25411320,262440192,25413630,262464064,25421374,262544032,25404042,262365040,25400092,262324240,25412120,262448464,25412052,262447760,25408400,262410048,25415412,262482464,25399086,262313856,25420944,262539600,25421940,262549888,25426956,262601680,25496758,262289008
21,21,25405162,262376608,25404944,262374368,25408790,262414080,25444110,262778864,25405848,262383712,25434762,262682320,25411060,262437520,25413338,262461040,25420792,262538048,25404218,262366864,25400234,262325712,25411988,262447104,25411904,262446256,25408252,262408528,25415274,262481040,25398924,262312192,25420194,262531856,25422088,262551424,25427096,262603136,25496670,262288112
22,22,25405052,262375488,25404962,262374528,25408460,262410672,25443272,262770208,25405824,262383440,25434152,262676016,25410868,262435536,25413226,262459888,25420664,262536704,25404070,262365328,25400224,262325616,25411830,262445472,25411778,262444944,25408072,262406656,25415070,262478944,25398966,262312608,25419984,262529696,25422152,262552080,25426712,262599168,25496592,262287312
23,23,25405070,262375648,25405076,262375712,25408682,262412976,25442984,262767232,25405776,262382960,25433772,262672080,25410924,262436112,25413296,262460608,25420386,262533840,25404026,262364864,25400362,262327040,25411680,262443936,25411810,262445280,25408112,262407088,25415268,262480992,25399076,262313760,25420308,262533040,25422030,262550816,25426524,262597216,25496824,262289696
24,24,25405198,262376976,25405284,262377856,25408766,262413840,25443028,262767680,25405732,262382496,25433220,262666384,25410856,262435408,25413428,262461984,25420336,262533312,25404194,262366624,25400498,262328432,25411776,262444912,25411966,262446880,25407984,262405744,25415142,262479664,25399250,262315552,25420584,262535888,25422446,262555104,25426870,262600800,25496962,262291120
25,25,25405010,262375040,25405062,262375568,25408610,262412224,25443274,262770224,25405674,262381888,25432608,262660064,25410746,262434288,25413390,262461584,25420248,262532416,25403808,262362624,25400306,262326448,25411508,262442160,25411812,262445296,25407818,262404048,25415132,262479568,25399222,262315280,25420950,262539664,25422220,262552784,25426604,262598064,25496870,262290176
26,26,25405036,262375312,25405140,262376368,25408378,262409824,25442706,262764352,25405508,262380192,25432080,262654608,25410656,262433360,25413370,262461376,25420372,262533696,25403768,262362208,25400358,262326992,25411426,262441312,25411754,262444688,25407678,262402608,25415006,262478272,25399212,262315152,25421310,262543376,25422264,262553232,25426614,262598160,25496850,262289952
27,27,25405216,262377168,25405342,262378464,25408626,262412368,25442856,262765904,25405510,262380192,25431802,262651744,25410786,262434688,25413450,262462192,25420602,262536064,25403848,262363040,25400514,262328608,25411628,262443392,25411862,262445792,25407842,262404288,25415196,262480240,25399310,262316176,25421708,262547488,25422494,262555600,25426808,262600160,25496860,262290064
28,28,25405190,262376912,25405344,262378496,25408726,262413408,25442766,262764960,25405552,262380640,25431490,262648512,25410906,262435936,25413600,262463760,25420736,262537440,25403632,262360800,25400376,262327184,25411806,262445232,25411834,262445520,25407868,262404544,25415166,262479920,25399304,262316112,25421708,262547488,25422276,262553360,25426500,262596976,25496832,262289776
29,29,25405408,262379136,25405462,262379696,25408552,262411616,25442552,262762768,25405194,262376944,25431038,262643856,25410726,262434080,25413828,262466112,25420886,262539008,25403812,262362656,25400598,262329472,25411516,262442240,25412042,262447664,25407806,262403904,25415048,262478720,25399364,262316736,25421584,262546208,25422464,262555296,25426234,262594224,25496940,262290896
30,30,25405406,262379136,25405490,262380000,25408526,262411360,25442202,262759136,25405452,262379600,25430700,262640352,25410620,262432992,25413864,262466480,25420740,262537504,25403686,262361360,25400526,262328736,25411446,262441504,25411978,262447008,25407708,262402896,25414828,262476432,25399296,262316032,25421408,262544384,25422330,262553920,25425678,262588496,25496880,262290288
31,31,25405560,262380720,25405638,262381520,25408538,262411472,25441990,262756960,25405202,262377024,25430598,262639296,25410722,262434032,25413884,262466688,25420510,262535120,25403746,262362000,25400662,262330128,25411510,262442176,25411988,262447104,25407924,262405136,25415108,262479328,25399320,262316272,25421304,262543328,25422300,262553616,25425612,262587808,25496906,262290544
32,32,25405552,262380640,25405620,262381344,25408532,262411408,25441836,262755360,25405250,262377520,25430382,262637072,25410672,262433520,25414046,262468352,25420470,262534720,25403836,262362912,25400744,262330976,25411678,262443904,25411834,262445520,25407858,262404448,25415022,262478448,25399342,262316512,25421174,262541984,25422284,262553424,25425324,262584848,25496988,262291392
33,33,25405512,262380224,25405496,262380048,25408252,262408512,25441448,262751360,25405014,262375072,25430126,262634432,25410550,262432256,25414148,262469424,25420346,262533440,25403832,262362864,25400700,262330528,25411220,262439168,25411406,262441104,25407852,262404384,25414994,262478144,25399442,262317536,25421120,262541424,25422146,262552016,25425046,262581968,25496908,262290560
34,34,25405500,262380096,25405548,262380592,25408382,262409856,25441340,262750240,25404924,262374160,25430206,262635248,25410640,262433184,25414046,262468368,25420094,262530832,25403676,262361264,25400594,262329424,25411156,262438512,25411090,262437824,25408024,262406176,25415050,262478720,25399388,262316976,25420922,262539376,25421816,262548608,25424736,262578768,25496966,262291152
35,35,25405508,262380176,25405636,262381504,25408150,262407456,25440978,262746512,25404764,262372512,25429892,262632016,25410300,262429680,25414016,262468048,25419890,262528704,25403910,262363680,25400766,262331200,25411124,262438176,25410982,262436720,25407844,262404304,25414970,262477904,25399336,262316448,25420896,262539104,25421870,262549168,25424792,262579328,25497044,262291952
36,36,25405516,262380256,25405654,262381680,25408148,262407440,25440660,262743216,25404752,262372384,25429596,262628960,25410236,262429008,25413750,262465312,25419570,262525408,25403934,262363920,25400820,262331776,25411032,262437232,25410804,262434864,25407816,262404032,25414938,262477584,25399162,262314640,25420728,262537360,25422108,262551616,25425416,262585776,25496770,262289136
37,37,25405626,262381408,25405790,262383088,25408144,262407408,25440322,262739744,25404702,262371856,25429370,262626624,25410318,262429856,25414018,262468064,25419548,262525184,25404058,262365200,25400904,262332624,25411184,262438800,25410794,262434768,25407998,262405888,25415094,262479184,25399362,262316720,25420832,262538432,25421668,262547088,25425372,262585328,25496982,262291312
38,38,25405342,262378480,25405458,262379664,25407972,262405632,25439762,262733952,25404498,262369744,25428980,262622608,25410036,262426960,25413744,262465248,25419154,262521120,25403724,262361760,25400608,262329568,25410908,262435936,25410386,262430544,25407804,262403888,25414860,262476768,25399200,262315040,25420512,262535136,25421174,262541984,25424744,262578848,25496758,262289024
39,39,25405550,262380608,25405730,262382464,25408140,262407360,25439656,262732848,25404592,262370720,25429092,262623744,25410260,262429264,25413910,262466960,25419298,262522608,25403938,262363968,25400746,262330992,25411080,262437728,25410488,262431616,25408174,262407728,25415174,262480016,25399382,262316928,25420598,262536032,25421382,262544128,25424748,262578880,25497062,262292144
40,40,25405314,262378176,25405510,262380208,25407910,262404992,25439044,262726544,25404568,262370480,25428980,262622608,25410104,262427648,25413656,262464336,25418968,262519184,25403802,262362560,25400622,262329712,25411028,262437200,25410194,262428576,25408168,262407648,25415058,262478816,25399234,262315392,25420230,262532224,25421094,262541152,25424354,262574816,25496856,262290032
41,41,25405196,262376960,25405264,262377648,25407754,262403392,25439406,262730272,25404252,262367200,25427774,262610144,25409902,262425552,25413644,262464208,25418616,262515552,25403632,262360800,25400538,262328864,25410022,262426800,25409610,262422544,25407928,262405168,25414742,262475552,25399820,262321440,25419706,262526816,25420784,262537936,25422346,262554080,25497192,262293488
42,42,25405526,262380352,25406302,262388384,25409510,262421520,25443006,262767440,25404584,262370640,25433714,262671488,25410182,262428448,25414206,262470016,25419504,262524720,25403830,262362848,25399854,262321792,25411006,262436976,25411960,262446816,25408782,262414000,25418304,262512320,25398574,262308576,25419028,262519808,25422590,262556608,25423642,262567472,25496108,262282336
43,43,25406622,262391696,25407440,262400128,25410550,262432256,25447710,262816032,25405166,262376656,25438724,262723232,25411536,262442448,25415898,262487488,25422288,262553488,25404768,262372544,25400782,262331376,25412154,262448816,25412782,262455312,25410444,262431168,25420422,262534208,25398868,262311600,25421592,262546288,25425330,262584896,25429318,262626080,25496272,262284016
44,44,25403990,262364512,25405936,262384608,25410074,262427344,25443192,262769376,25402416,262348240,25433628,262670592,25410784,262434672,25413582,262463568,25421690,262547312,25404464,262369392,25400216,262325520,25410324,262429920,25410942,262436304,25409422,262420608,25417144,262500352,25398794,262310848,25422932,262560144,25418646,262515872,25441702,262753984,25496084,262282080
45,45,25402446,262348560,25405346,262378512,25409150,262417792,25442204,262759184,25403816,262362704,25428672,262619408,25407704,262402880,25411956,262446784,25419536,262525072,25403390,262358304,25399634,262319504,25407818,262404048,25410106,262427664,25406496,262390384,25413972,262467600,25398526,262308064,25422488,262555536,25415588,262484272,25428676,262619456,25496234,262283616
46,46,25403188,262356224,25407232,262397984,25409530,262421728,25447058,262809296,25405478,262379872,25430950,262642944,25408506,262411152,25412558,262452992,25421352,262543808,25403744,262361968,25400264,262326016,25410774,262434576,25413664,262464416,25406540,262390832,25418730,262516736,25398632,262309168,25424048,262571648,25417922,262508384,25426760,262599664,25496354,262284864
47,47,25404084,262365488,25408678,262412928,25410692,262433728,25451630,262856512,25407180,262397456,25434448,262679072,25410020,262426768,25415656,262484992,25423940,262570544,25404226,262366944,25400762,262331168,25414598,262474048,25418252,262511792,25408160,262407568,25420778,262537888,25399378,262316880,25429636,262629376,25421890,262549360,25428098,262613488,25496676,262288176
48,48,25404172,262366384,25408104,262407008,25410096,262427568,25450832,262848272,25406850,262394048,25432990,262664016,25410232,262428976,25415386,262482192,25423538,262566400,25403974,262364336,25401090,262334560,25414024,262468128,25417840,262507536,25407644,262402256,25419892,262528736,25399452,262317632,25429846,262631536,25421674,262547152,25429436,262627296,25496758,262289024
49,49,25403892,262363488,25407734,262403184,25409870,262425232,25449028,262829632,25406144,262386752,25433074,262664864,25410332,262430000,25415210,262480384,25422926,262560064,25403876,262363344,25401220,262335904,25413638,262464160,25417008,262498944,25407500,262400752,25419098,262520544,25399646,262319648,25429588,262628880,25421172,262541968,25429136,262624192,25496864,262290112
50,50,25403420,262358624,25407240,262398080,25409256,262418896,25447944,262818464,25405364,262378704,25432428,262658208,25409572,262422160,25415182,262480096,25422882,262559616,25403664,262361136,25400948,262333088,25413140,262459008,25416342,262492064,25406868,262394224,25417842,262507568,25399566,262318816,25429486,262627808,25421158,262541808,25428364,262616224,25496898,262290464
51,51,25403692,262361424,25407294,262398624,25409406,262420448,25448204,262821120,25405876,262383984,25432562,262659584,25409880,262425344,25415144,262479712,25422960,262560416,25403876,262363328,25400946,262333056,25413414,262461824,25416564,262494368,25406864,262394192,25416698,262495744,25399626,262319440,25429306,262625968,25421242,262542688,25428052,262613008,25496924,262290720
52,52,25403534,262359792,25407016,262395760,25409060,262416864,25448394,262823104,25405738,262382560,25431964,262653408,25409648,262422928,25414628,262474368,25422974,262560560,25403450,262358928,25400880,262332384,25412980,262457344,25416568,262494400,25406620,262391664,25415462,262482976,25399560,262318752,25429602,262629024,25421102,262541232,25428078,262613280,25496838,262289840
53,53,25403608,262360560,25407130,262396928,25408786,262414032,25448558,262824800,25405708,262382240,25431398,262647568,25409402,262420400,25414504,262473104,25422858,262559376,25403510,262359552,25400902,262332624,25412782,262455296,25416930,262498144,25406508,262390512,25414994,262478144,25399670,262319888,25429582,262628816,25421062,262540816,25427736,262609744,25496960,262291104
54,54,25403302,262357408,25407058,262396192,25408840,262414608,25448340,262822544,25405560,262380720,25430648,262639824,25408906,262415264,25414354,262471536,25422640,262557120,25403738,262361888,25401000,262333616,25412316,262450496,25416956,262498416,25406228,262387616,25414512,262473168,25399538,262318528,25428626,262618928,25421066,262540864,25427320,262605456,25497052,262292048
55,55,25403066,262354960,25406972,262395296,25408638,262412512,25447796,262816912,25405540,262380512,25430310,262636320,25408696,262413104,25414158,262469520,25422400,262554624,25403658,262361072,25400950,262333120,25412016,262447392,25416956,262498416,25406248,262387808,25414324,262471232,25399542,262318560,25427758,262609968,25421074,262540944,25426732,262599376,25496940,262290896
56,56,25402974,262354016,25406932,262394880,25408548,262411584,25447808,262817040,25405540,262380512,25429880,262631888,25408496,262411040,25414374,262471760,25422394,262554576,25403722,262361728,25401218,262335872,25411814,262445296,25416956,262498416,25406216,262387504,25414326,262471248,25399638,262319552,25427248,262604720,25421106,262541280,25426892,262601024,25497072,262292240
57,57,25403192,262356272,25407100,262396624,25408640,262412528,25447872,262817696,25405636,262381488,25429766,262630704,25408674,262412864,25414296,262470960,25422042,262550944,25403556,262360032,25401034,262333984,25411908,262446288,25417288,262501840,25406510,262390528,25414672,262474816,25399562,262318784,25427158,262603792,25420806,262538176,25426572,262597712,25497080,262292320
58,58,25403084,262355152,25406814,262393664,25408554,262411648,25447250,262811280,25405630,262381440,25429164,262624480,25408332,262409344,25414500,262473040,25422126,262551808,25403616,262360640,25401172,262335408,25411670,262443808,25417218,262501120,25406242,262387760,25414466,262472704,25399754,262320752,25427580,262608128,25421044,262540640,25426802,262600096,25497356,262295168
59,59,25403128,262355616,25406812,262393664,25408648,262412608,25446750,262806128,25405534,262380448,25428780,262620528,25408216,262408160,25414342,262471408,25421500,262545344,25403610,262360576,25401180,262335488,25411648,262443600,25417370,262502688,25406226,262387584,25414432,262472336,25399582,262318992,25427752,262609904,25421194,262542192,25427220,262604416,25497018,262291696
60,60,25403130,262355616,25406732,262392816,25408596,262412080,25446826,262806896,25405588,262381008,25428578,262618432,25408256,262408560,25414632,262474416,25421498,262545328,25403636,262360848,25401254,262336256,25411540,262442480,25417516,262504192,25406270,262388048,25414462,262472640,25399828,262321520,25428618,262618848,25421144,262541680,25427216,262604384,25497148,262293040
61,61,25403224,262356608,25406594,262391392,25408658,262412704,25446910,262807776,25405588,262380992,25428442,262617040,25408302,262409040,25415040,262478624,25421480,262545136,25403800,262362544,25401534,262339136,25411458,262441632,25417664,262505728,25406320,262388576,25414460,262472640,25400018,262323488,25429426,262627200,25421464,262544960,25427552,262607840,25497454,262296176
62,62,25403356,262357952,25406788,262393392,25408954,262415776,25446174,262800160,25405522,262380320,25428288,262615440,25408216,262408144,25415036,262478592,25421260,262542864,25403778,262362304,25401404,262337808,25411432,262441360,25417970,262508896,25406262,262387968,25414446,262472480,25399978,262323072,25429950,262632608,25421480,262545136,25427626,262608608,25497178,262293328
63,63,25403244,262356800,25406398,262389376,25408710,262413264,25446006,262798432,25405582,262380944,25428008,262612560,25408278,262408800,25415242,262480720,25421424,262544560,25403878,262363344,25401674,262340592,25411064,262437568,25417860,262507760,25406226,262387600,25414486,262472912,25399954,262322832,25430144,262634608,25421874,262549200,25428016,262612640,25497296,262294560
64,64,25403322,262357600,25406442,262389824,25408730,262413456,25446320,262801680,25405600,262381120,25427922,262611664,25408342,262409456,25415454,262482896,25421752,262547936,25404428,262369040,25401598,262339792,25411120,262438128,25418028,262509472,25406238,262387728,25414488,262472912,25400012,262323424,25430104,262634192,25421858,262549040,25427906,262611504,25497240,262293968
65,65,25403482,262359264,25406566,262391104,25408674,262412880,25446554,262804096,25405646,262381600,25427796,262610352,25408368,262409728,25415514,262483536,25421920,262549680,25403730,262361824,25401660,262340432,25411090,262437824,25418112,262510352,25406134,262386656,25414386,262471872,25399970,262322992,25429892,262632000,25421972,262550224,25427668,262609040,25497164,262293200
66,66,25403516,262359600,25406722,262392720,25408724,262413392,25445680,262795072,25405552,262380640,25427608,262608416,25408426,262410320,25415688,262485328,25422278,262553376,25403984,262364448,25401996,262343904,25411192,262438880,25418164,262510880,25406184,262387168,25414498,262473024,25400164,262324992,25429738,262630416,25422324,262553856,25427572,262608048,25497406,262295680
67,67,25403542,262359872,25406764,262393152,25408866,262414864,25445538,262793584,25405504,262380144,25427416,262606448,25408386,262409904,25415626,262484688,25422206,262552640,25404124,262365904,25402022,262344176,25411184,262438800,25418112,262510352,25406148,262386784,25414394,262471952,25400044,262323760,25429480,262627760,25422236,262552944,25427170,262603904,25497394,262295568
68,68,25403484,262359296,25406784,262393360,25408880,262415008,25445674,262795008,25405544,262380544,25427294,262605184,25408450,262410576,25415844,262486928,25422278,262553376,25403922,262363808,25402040,262344368,25411046,262437376,25417884,262508000,25406186,262387184,25414420,262472240,25400280,262326176,25429684,262629872,25422136,262551904,25426852,262600608,25497462,262296256
69,69,25403168,262356000,25406520,262390640,25408334,262409360,25445208,262790192,25405016,262375104,25426592,262597920,25407846,262404336,25415088,262479120,25421516,262545504,25403334,262357728,25401488,262338672,25410730,262434112,25417368,262502656,25405548,262380608,25413712,262464896,25399586,262319024,25429170,262624560,25421592,262546304,25426092,262592768,25496692,262288352
70,70,25403562,262360080,25407094,262396560,25409040,262416656,25445558,262793808,25405340,262378448,25426930,262601424,25408510,262411184,25415614,262484544,25422110,262551648,25403664,262361136,25401876,262342672,25411034,262437264,25417574,262504800,25406198,262387312,25414292,262470912,25400220,262325568,25429860,262631680,25421856,262549024,25426306,262594976,25497364,262295264
71,71,25403710,262361616,25407282,262398512,25408726,262413408,25444648,262784416,25405290,262377936,25426694,262598992,25408378,262409808,25415644,262484880,25421930,262549792,25403712,262361632,25401966,262343600,25411206,262439024,25417506,262504096,25406136,262386672,25414098,262468896,25400258,262325968,25430004,262633168,25421946,262549936,25426306,262594992,25497370,262295312
72,72,25403598,262360464,25407266,262398336,25408790,262414080,25444570,262783600,25405216,262377184,25426464,262596608,25408402,262410064,25415606,262484464,25421818,262548640,25403644,262360928,25401928,262343216,25411016,262437072,25417136,262500272,25406068,262385968,25414008,262467952,25400208,262325440,25430164,262634816,25422218,262552752,25426228,262594176,25497370,262295312
73,73,25403468,262359104,25407310,262398800,25408732,262413472,25444510,262782976,25404942,262374336,25426088,262592736,25408330,262409328,25415248,262480784,25421242,262542688,25403300,262357376,25401654,262340384,25410734,262434144,25416780,262496592,25406078,262386080,25413844,262466272,25399964,262322912,25429978,262632912,25421520,262545552,25425888,262590656,25497208,262293648
74,74,25402926,262353520,25406800,262393536,25407878,262404656,25443372,262771232,25404144,262366112,25425492,262586576,25407840,262404256,25414754,262475680,25420678,262536864,25402858,262352816,25401216,262335872,25410046,262427040,25415928,262487808,25405892,262384144,25413314,262460800,25399448,262317600,25429226,262625136,25420998,262540160,25425572,262587408,25496790,262289344
75,75,25403528,262359728,25407570,262401488,25408536,262411456,25443666,262774272,25404754,262372400,25426100,262592848,25408506,262411152,25415564,262484048,25421460,262544928,25403452,262358944,25401830,262342192,25410624,262433024,25416320,262491856,25406308,262388448,25413954,262467424,25400230,262325664,25429844,262631520,25421384,262544144,25426024,262592064,25497278,262294368
76,76,25403132,262355632,25407376,262399472,25407888,262404752,25442556,262762816,25404220,262366880,25425236,262583920,25407810,262403968,25415088,262479120,25421026,262540448,25402932,262353568,25401312,262336848,25410160,262428224,25415674,262485184,25405822,262383440,25413258,262460208,25399854,262321792,25429074,262623552,25420762,262537712,25425340,262585008,25496914,262290608
77,77,25403634,262360832,25408052,262406448,25408340,262409440,25442536,262762592,25404802,262372880,25425888,262590656,25408626,262412384,25415710,262485536,25421544,262545792,25403614,262360624,25401922,262343136,25410644,262433232,25415982,262488352,25406738,262392896,25414058,262468480,25400472,262328160,25429458,262627536,25421322,262543520,25425568,262587360,25497528,262296928
78,78,25403640,262360896,25407938,262405280,25408040,262406336,25441804,262755040,25404582,262370624,25423942,262570560,25408144,262407424,25414368,262471680,25420524,262535248,25403558,262360048,25401822,262342112,25411872,262445920,25414484,262472880,25407476,262400512,25411804,262445216,25400232,262325696,25430356,262636800,25418568,262515056,25425946,262591264,25497220,262293760
79,79,25404548,262370272,25410554,262432304,25409546,262421888,25444988,262787936,25405718,262382336,25428428,262616896,25409166,262417952,25416458,262493280,25422108,262551632,25404136,262366016,25401748,262341344,25410496,262431696,25416554,262494272,25407820,262404064,25417386,262502848,25399906,262322320,25428344,262616032,25422020,262550720,25425284,262584416,25497062,262292144
80,80,25404492,262369680,25410836,262435200,25409912,262425664,25444970,262787744,25405172,262376704,25429322,262626128,25409054,262416800,25416036,262488928,25422878,262559568,25403610,262360576,25401206,262335744,25411270,262439680,25417696,262506048,25408006,262405984,25418414,262513488,25399020,262313184,25428796,262620688,25423072,262561584,25426764,262599712,25495962,262280832
81,81,25402832,262352544,25408560,262411712,25410228,262428944,25443714,262774752,25402742,262351632,25425798,262589728,25407786,262403712,25413934,262467200,25421860,262549056,25403852,262363088,25401418,262337936,25410804,262434880,25414662,262474736,25408246,262408464,25415452,262482880,25399652,262319712,25432342,262657312,25420838,262538512,25432742,262661456,25496524,262286608
