 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,,background
1,1,25407868,262404544,25404082,262365456,25408020,262406128,25440532,262741904,25401504,262338832,25435850,262693536,25408434,262410400,25410226,262428896,25420474,262534752,25403128,262355600,25399018,262313152,25413396,262461648,25414790,262476048,25407810,262403968,25418594,262515328,25397824,262300816,25420618,262536240,25419146,262521040,25453578,262876640,25495420,262275264
2,2,25407256,262398240,25403992,262364528,25407998,262405904,25442078,262757872,25401720,262341072,25434482,262679408,25408218,262408160,25410320,262429872,25420190,262531808,25403228,262356640,25399000,262312960,25412754,262455008,25414466,262472704,25407362,262399328,25417012,262498992,25397842,262301008,25419824,262528032,25418450,262513840,25446384,262802336,25495634,262277472
3,3,25407354,262399248,25404650,262371328,25411020,262437120,25456636,262908224,25403988,262364480,25436618,262701488,25409158,262417888,25411588,262442976,25422850,262559296,25403302,262357392,25399302,262316096,25412780,262455280,25414476,262472800,25407482,262400576,25417282,262501792,25397972,262302352,25420118,262531072,25419528,262524976,25443496,262772512,25495664,262277760
4,4,25407986,262405776,25405458,262379680,25412444,262451824,25460718,262950368,25406188,262387200,25440090,262737328,25410238,262429040,25412388,262451248,25423280,262563744,25403758,262362112,25399292,262315984,25412668,262454144,25413934,262467200,25407750,262403344,25417684,262505936,25397904,262301664,25419942,262529264,25419174,262521328,25439792,262734256,25495600,262277104
5,5,25407266,262398336,25405504,262380128,25412560,262453024,25461790,262961456,25406864,262394176,25439556,262731808,25410970,262436592,25412628,262453728,25422416,262554816,25404048,262365088,25399562,262318768,25412798,262455472,25413640,262464160,25408078,262406720,25419354,262523184,25397950,262302128,25420150,262531408,25419404,262523696,25438352,262719376,25495618,262277280
6,6,25407328,262398976,25405942,262384656,25412970,262457248,25462492,262968688,25408220,262408192,25440318,262739680,25412186,262449152,25413398,262461680,25423382,262564784,25404146,262366112,25399634,262319520,25413044,262458016,25414436,262472384,25408292,262408944,25419258,262522176,25398126,262303936,25419288,262522496,25420208,262532000,25435908,262694144,25495654,262277664
7,7,25407502,262400784,25406060,262385888,25413260,262460256,25461234,262955696,25408780,262413968,25441302,262749856,25413204,262459680,25414312,262471120,25423932,262570464,25404296,262367664,25399980,262323088,25413850,262466336,25414774,262475888,25409064,262416896,25420552,262535552,25398428,262307056,25420886,262538992,25421046,262540640,25433966,262674096,25495938,262280592
8,8,25406884,262394400,25405854,262383760,25412884,262456352,25457814,262920384,25409414,262420528,25442948,262766848,25413612,262463872,25414696,262475072,25424402,262575328,25404170,262366352,25399388,262316976,25413524,262462960,25414144,262469360,25409294,262419280,25420906,262539216,25398052,262303168,25421396,262544272,25421928,262549760,25431748,262651184,25495374,262274784
9,9,25407494,262400688,25406446,262389872,25413742,262465216,25455300,262894432,25409576,262422192,25443914,262776816,25414550,262473568,25415538,262483760,25425226,262583824,25404746,262372304,25399966,262322944,25414678,262474896,25414408,262472096,25409910,262425632,25420582,262535872,25398320,262305936,25421928,262549760,25423094,262561808,25431210,262645616,25495908,262280272
10,10,25407314,262398832,25406748,262392992,25413264,262460288,25456770,262909600,25409852,262425040,25444078,262778512,25414512,262473168,25415642,262484848,25425166,262583200,25405282,262377840,25400416,262327584,25415008,262478304,25414256,262470528,25410364,262430336,25420944,262539600,25398660,262309456,25423132,262562192,25424288,262574128,25430712,262640480,25496200,262283264
