"","setfiles","variable","value","treatment","promoter","line","date.time","ZT"
"1","exp33","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 12:11:00,-545.816666666667
"2","exp37","shade_plate1_YUC5_line1_rep1",-0.0434177107587708,"shade","YUC5","line1",2016-06-11 13:11:00,-544.816666666667
"3","exp38","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 13:26:00,-544.566666666667
"4","exp311","shade_plate1_YUC5_line1_rep1",-0.0785966744823572,"shade","YUC5","line1",2016-06-11 14:11:00,-543.816666666667
"5","exp312","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 14:26:00,-543.566666666667
"6","exp315","shade_plate1_YUC5_line1_rep1",-0.0656265987453821,"shade","YUC5","line1",2016-06-11 15:11:00,-542.816666666667
"7","exp316","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 15:26:00,-542.566666666667
"8","exp319","shade_plate1_YUC5_line1_rep1",-0.109321490369707,"shade","YUC5","line1",2016-06-11 16:11:00,-541.816666666667
"9","exp320","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 16:26:00,-541.566666666667
"10","exp324","shade_plate1_YUC5_line1_rep1",-0.12627881876964,"shade","YUC5","line1",2016-06-11 17:26:00,-540.566666666667
"11","exp325","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 17:41:00,-540.316666666667
"12","exp327","shade_plate1_YUC5_line1_rep1",-0.0502148731125356,"shade","YUC5","line1",2016-06-11 18:11:00,-539.816666666667
"13","exp328","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 18:26:00,-539.566666666667
"14","exp339","shade_plate1_YUC5_line1_rep1",-0.154381212988358,"shade","YUC5","line1",2016-06-11 21:11:00,-536.816666666667
"15","exp340","shade_plate1_YUC5_line1_rep1",0,"shade","YUC5","line1",2016-06-11 21:26:00,-536.566666666667
"16","exp343","shade_plate1_YUC5_line1_rep1",-0.0434177107587708,"shade","YUC5","line1",2016-06-11 22:11:00,-535.816666666667
"17","exp375","shade_plate1_YUC5_line1_rep1",0.646157401447827,"shade","YUC5","line1",2016-06-12 06:11:00,-527.816666666667
"18","exp377","shade_plate1_YUC5_line1_rep1",0.700313171494733,"shade","YUC5","line1",2016-06-12 06:41:00,-527.316666666667
"19","exp388","shade_plate1_YUC5_line1_rep1",0.533043321396372,"shade","YUC5","line1",2016-06-12 09:26:00,-524.566666666667
"20","exp392","shade_plate1_YUC5_line1_rep1",0.606731228190377,"shade","YUC5","line1",2016-06-12 10:26:00,-523.566666666667
"21","exp3108","shade_plate1_YUC5_line1_rep1",0.376485543691889,"shade","YUC5","line1",2016-06-12 14:26:00,-519.566666666667
"22","exp3124","shade_plate1_YUC5_line1_rep1",0.328165721119635,"shade","YUC5","line1",2016-06-12 18:26:00,-515.566666666667
"23","exp3141","shade_plate1_YUC5_line1_rep1",0.405961320959795,"shade","YUC5","line1",2016-06-12 22:41:00,-511.316666666667
"24","exp3171","shade_plate1_YUC5_line1_rep1",0.476823547336419,"shade","YUC5","line1",2016-06-13 06:11:00,-503.816666666667
"25","exp3173","shade_plate1_YUC5_line1_rep1",0.639308735845356,"shade","YUC5","line1",2016-06-13 06:41:00,-503.316666666667
"26","exp3189","shade_plate1_YUC5_line1_rep1",0.81228160313753,"shade","YUC5","line1",2016-06-13 10:41:00,-499.316666666667
"27","exp3203","shade_plate1_YUC5_line1_rep1",0.656108867943525,"shade","YUC5","line1",2016-06-13 14:11:00,-495.816666666667
"28","exp33","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 12:11:00,-545.816666666667
"29","exp37","shade_plate1_YUC5_line1_rep2",0.265894059973036,"shade","YUC5","line1",2016-06-11 13:11:00,-544.816666666667
"30","exp38","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 13:26:00,-544.566666666667
"31","exp311","shade_plate1_YUC5_line1_rep2",-0.268196110949573,"shade","YUC5","line1",2016-06-11 14:11:00,-543.816666666667
"32","exp312","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 14:26:00,-543.566666666667
"33","exp315","shade_plate1_YUC5_line1_rep2",0.415037499278844,"shade","YUC5","line1",2016-06-11 15:11:00,-542.816666666667
"34","exp316","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 15:26:00,-542.566666666667
"35","exp319","shade_plate1_YUC5_line1_rep2",0.450032920635048,"shade","YUC5","line1",2016-06-11 16:11:00,-541.816666666667
"36","exp320","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 16:26:00,-541.566666666667
"37","exp324","shade_plate1_YUC5_line1_rep2",0.660250628025393,"shade","YUC5","line1",2016-06-11 17:26:00,-540.566666666667
"38","exp325","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 17:41:00,-540.316666666667
"39","exp327","shade_plate1_YUC5_line1_rep2",0.676460855206653,"shade","YUC5","line1",2016-06-11 18:11:00,-539.816666666667
"40","exp328","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 18:26:00,-539.566666666667
"41","exp339","shade_plate1_YUC5_line1_rep2",0.529523514295731,"shade","YUC5","line1",2016-06-11 21:11:00,-536.816666666667
"42","exp340","shade_plate1_YUC5_line1_rep2",0,"shade","YUC5","line1",2016-06-11 21:26:00,-536.566666666667
"43","exp343","shade_plate1_YUC5_line1_rep2",0.807354922057604,"shade","YUC5","line1",2016-06-11 22:11:00,-535.816666666667
"44","exp375","shade_plate1_YUC5_line1_rep2",0.365905791947965,"shade","YUC5","line1",2016-06-12 06:11:00,-527.816666666667
"45","exp377","shade_plate1_YUC5_line1_rep2",0.166103290489904,"shade","YUC5","line1",2016-06-12 06:41:00,-527.316666666667
"46","exp388","shade_plate1_YUC5_line1_rep2",0.262318605749208,"shade","YUC5","line1",2016-06-12 09:26:00,-524.566666666667
"47","exp392","shade_plate1_YUC5_line1_rep2",0.590676151915551,"shade","YUC5","line1",2016-06-12 10:26:00,-523.566666666667
"48","exp3108","shade_plate1_YUC5_line1_rep2",0.11943523098862,"shade","YUC5","line1",2016-06-12 14:26:00,-519.566666666667
"49","exp3124","shade_plate1_YUC5_line1_rep2",0.541373232173473,"shade","YUC5","line1",2016-06-12 18:26:00,-515.566666666667
"50","exp3141","shade_plate1_YUC5_line1_rep2",0.602036014080099,"shade","YUC5","line1",2016-06-12 22:41:00,-511.316666666667
"51","exp3171","shade_plate1_YUC5_line1_rep2",0.18511140525699,"shade","YUC5","line1",2016-06-13 06:11:00,-503.816666666667
"52","exp3173","shade_plate1_YUC5_line1_rep2",0.294183104404459,"shade","YUC5","line1",2016-06-13 06:41:00,-503.316666666667
"53","exp3189","shade_plate1_YUC5_line1_rep2",0.349149563622387,"shade","YUC5","line1",2016-06-13 10:41:00,-499.316666666667
"54","exp3203","shade_plate1_YUC5_line1_rep2",0.913744266649582,"shade","YUC5","line1",2016-06-13 14:11:00,-495.816666666667
"55","exp33","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 12:11:00,-545.816666666667
"56","exp37","shade_plate2_YUC9_line2_rep1",-0.561878887608113,"shade","YUC9","line2",2016-06-11 13:11:00,-544.816666666667
"57","exp38","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 13:26:00,-544.566666666667
"58","exp311","shade_plate2_YUC9_line2_rep1",-0.728128230907028,"shade","YUC9","line2",2016-06-11 14:11:00,-543.816666666667
"59","exp312","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 14:26:00,-543.566666666667
"60","exp315","shade_plate2_YUC9_line2_rep1",-0.144389909335175,"shade","YUC9","line2",2016-06-11 15:11:00,-542.816666666667
"61","exp316","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 15:26:00,-542.566666666667
"62","exp319","shade_plate2_YUC9_line2_rep1",0.0543657031165488,"shade","YUC9","line2",2016-06-11 16:11:00,-541.816666666667
"63","exp320","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 16:26:00,-541.566666666667
"64","exp324","shade_plate2_YUC9_line2_rep1",0.1108671459069,"shade","YUC9","line2",2016-06-11 17:26:00,-540.566666666667
"65","exp325","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 17:41:00,-540.316666666667
"66","exp327","shade_plate2_YUC9_line2_rep1",0.0818464395386567,"shade","YUC9","line2",2016-06-11 18:11:00,-539.816666666667
"67","exp328","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 18:26:00,-539.566666666667
"68","exp339","shade_plate2_YUC9_line2_rep1",0.290110887378015,"shade","YUC9","line2",2016-06-11 21:11:00,-536.816666666667
"69","exp340","shade_plate2_YUC9_line2_rep1",0,"shade","YUC9","line2",2016-06-11 21:26:00,-536.566666666667
"70","exp343","shade_plate2_YUC9_line2_rep1",0.184867727350678,"shade","YUC9","line2",2016-06-11 22:11:00,-535.816666666667
"71","exp375","shade_plate2_YUC9_line2_rep1",-0.251116710373077,"shade","YUC9","line2",2016-06-12 06:11:00,-527.816666666667
"72","exp377","shade_plate2_YUC9_line2_rep1",-0.366374155526477,"shade","YUC9","line2",2016-06-12 06:41:00,-527.316666666667
"73","exp388","shade_plate2_YUC9_line2_rep1",-0.598320883576175,"shade","YUC9","line2",2016-06-12 09:26:00,-524.566666666667
"74","exp392","shade_plate2_YUC9_line2_rep1",-0.0680642749451525,"shade","YUC9","line2",2016-06-12 10:26:00,-523.566666666667
"75","exp3108","shade_plate2_YUC9_line2_rep1",-0.0473057147783553,"shade","YUC9","line2",2016-06-12 14:26:00,-519.566666666667
"76","exp3124","shade_plate2_YUC9_line2_rep1",-0.0820711329390331,"shade","YUC9","line2",2016-06-12 18:26:00,-515.566666666667
"77","exp3141","shade_plate2_YUC9_line2_rep1",-0.237989276387466,"shade","YUC9","line2",2016-06-12 22:41:00,-511.316666666667
"78","exp3171","shade_plate2_YUC9_line2_rep1",-0.54561383324533,"shade","YUC9","line2",2016-06-13 06:11:00,-503.816666666667
"79","exp3173","shade_plate2_YUC9_line2_rep1",-0.0773870540162171,"shade","YUC9","line2",2016-06-13 06:41:00,-503.316666666667
"80","exp3189","shade_plate2_YUC9_line2_rep1",-0.415776395602748,"shade","YUC9","line2",2016-06-13 10:41:00,-499.316666666667
"81","exp3203","shade_plate2_YUC9_line2_rep1",0.35219093360471,"shade","YUC9","line2",2016-06-13 14:11:00,-495.816666666667
"82","exp33","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 12:11:00,-545.816666666667
"83","exp37","shade_plate2_YUC9_line2_rep2",-0.261565062116228,"shade","YUC9","line2",2016-06-11 13:11:00,-544.816666666667
"84","exp38","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 13:26:00,-544.566666666667
"85","exp311","shade_plate2_YUC9_line2_rep2",-0.242466779367764,"shade","YUC9","line2",2016-06-11 14:11:00,-543.816666666667
"86","exp312","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 14:26:00,-543.566666666667
"87","exp315","shade_plate2_YUC9_line2_rep2",-0.103885679289213,"shade","YUC9","line2",2016-06-11 15:11:00,-542.816666666667
"88","exp316","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 15:26:00,-542.566666666667
"89","exp319","shade_plate2_YUC9_line2_rep2",-0.201934593191631,"shade","YUC9","line2",2016-06-11 16:11:00,-541.816666666667
"90","exp320","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 16:26:00,-541.566666666667
"91","exp324","shade_plate2_YUC9_line2_rep2",-0.0441018010916956,"shade","YUC9","line2",2016-06-11 17:26:00,-540.566666666667
"92","exp325","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 17:41:00,-540.316666666667
"93","exp327","shade_plate2_YUC9_line2_rep2",-0.0208650925213156,"shade","YUC9","line2",2016-06-11 18:11:00,-539.816666666667
"94","exp328","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 18:26:00,-539.566666666667
"95","exp339","shade_plate2_YUC9_line2_rep2",-0.136568313707812,"shade","YUC9","line2",2016-06-11 21:11:00,-536.816666666667
"96","exp340","shade_plate2_YUC9_line2_rep2",0,"shade","YUC9","line2",2016-06-11 21:26:00,-536.566666666667
"97","exp343","shade_plate2_YUC9_line2_rep2",0.0388961221392048,"shade","YUC9","line2",2016-06-11 22:11:00,-535.816666666667
"98","exp375","shade_plate2_YUC9_line2_rep2",-0.588307494199453,"shade","YUC9","line2",2016-06-12 06:11:00,-527.816666666667
"99","exp377","shade_plate2_YUC9_line2_rep2",-0.397547388923046,"shade","YUC9","line2",2016-06-12 06:41:00,-527.316666666667
"100","exp388","shade_plate2_YUC9_line2_rep2",0.171779985421081,"shade","YUC9","line2",2016-06-12 09:26:00,-524.566666666667
"101","exp392","shade_plate2_YUC9_line2_rep2",0.217324120815629,"shade","YUC9","line2",2016-06-12 10:26:00,-523.566666666667
"102","exp3108","shade_plate2_YUC9_line2_rep2",0.0172700363654563,"shade","YUC9","line2",2016-06-12 14:26:00,-519.566666666667
"103","exp3124","shade_plate2_YUC9_line2_rep2",-0.113974496912796,"shade","YUC9","line2",2016-06-12 18:26:00,-515.566666666667
"104","exp3141","shade_plate2_YUC9_line2_rep2",-0.319591205498417,"shade","YUC9","line2",2016-06-12 22:41:00,-511.316666666667
"105","exp3171","shade_plate2_YUC9_line2_rep2",-0.559462578712894,"shade","YUC9","line2",2016-06-13 06:11:00,-503.816666666667
"106","exp3173","shade_plate2_YUC9_line2_rep2",-0.245632321045667,"shade","YUC9","line2",2016-06-13 06:41:00,-503.316666666667
"107","exp3189","shade_plate2_YUC9_line2_rep2",-0.328793698544443,"shade","YUC9","line2",2016-06-13 10:41:00,-499.316666666667
"108","exp3203","shade_plate2_YUC9_line2_rep2",-0.161762395867061,"shade","YUC9","line2",2016-06-13 14:11:00,-495.816666666667
"109","exp33","shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 12:11:00,-545.816666666667
"110","exp37","shade_plate2_YUC8_line2_rep1",-0.92933105295066,"shade","YUC8","line2",2016-06-11 13:11:00,-544.816666666667
"111","exp38","shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 13:26:00,-544.566666666667
"112","exp311","shade_plate2_YUC8_line2_rep1",-1.02169507109932,"shade","YUC8","line2",2016-06-11 14:11:00,-543.816666666667
"113","exp312","shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 14:26:00,-543.566666666667
"114","exp315","shade_plate2_YUC8_line2_rep1",-0.244750038964467,"shade","YUC8","line2",2016-06-11 15:11:00,-542.816666666667
"115","exp316","shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 15:26:00,-542.566666666667
"116","exp319","shade_plate2_YUC8_line2_rep1",-0.757336484318143,"shade","YUC8","line2",2016-06-11 16:11:00,-541.816666666667
"117","exp320","shade_plate2_YUC8_line2_rep1",0,"shade","YUC8","line2",2016-06-11 16:26:00,-541.566666666667
